Type	RxnName	Carbon	Direction	Cond1	Cond2	Cond3	Cond4
constraint	r_2111			0.405 	0.150 	0.300 	0.400 
constraint	r_1714			-16.731 	-1.560 	-4.900 	-8.230 
constraint	r_1672			28.759 	3.610 	10.320 	13.740 
constraint	r_1992			-3.269 	Nan	Nan	Nan
constraint	r_1808			1.720 	0.030 	0.260 	0.570 
constraint	r_1761			23.632 	0.000 	2.420 	8.800 
constraint	r_1634			0.800 	0.000 	0.700 	0.430 
flux	r_0534	6	{1}	16.731 	1.560 	4.900 	8.230 
flux	r_0466	6	{1}	1.781 	0.853 	1.450 	1.243 
flux	r_0467	6	{1}	14.168 	0.393 	2.940 	6.411 
flux	r_0450	6	{1}	15.221 	0.939 	3.856 	7.168 
flux	r_1050	9	{1}	0.468 	0.254 	0.417 	0.313 
flux	r_1048	10	{1}	0.585 	0.292 	0.500 	0.436 
flux	r_0917	3	{1}	0.206 	0.076 	0.152 	0.280 
flux	r_0502	3	{1}	0.166 	0.027 	0.034 	0.115 
flux	r_0486	3	{1}	28.838 	2.008 	7.688 	13.777 
flux	r_0962	3	{1}	28.604 	1.939 	7.507 	13.547 
flux	r_0961	3	{1}	1.074 	0.340 	2.426 	1.951 
flux	r_0300	6	{1}	1.008 	1.140 	2.666 	1.885 
flux	{r_0658;r_2131}	6	{1;1}	1.008 	1.140 	2.666 	1.885 
flux	r_1022	4	{1}	0.602 	0.989 	2.313 	1.383 
flux	{r_0454;r_1021;r_0452}	4	{-1;1;-1}	0.102 	0.989 	2.313 	1.383 
flux	r_0713	4	{1}	0.102 	0.989 	2.313 	1.383 
flux	{r_0452;r_0451}	4	{1;1}	0.102 	0.989 	2.313 	1.383 
flux	r_0718	4	{1}	0.000 	0.112 	0.711 	1.720 
flux	r_0958	4	{1}	1.448 	0.371 	1.343 	2.584 
flux	r_0112	2	{1}	0.579 	1.148 	0.956 	0.914 
flux	{r_0173;r_2116}	2	{1;1}	1.379 	1.148 	1.676 	1.325 
flux	r_2115	2	{1}	23.632 	0.005 	2.435 	8.847 
flux	r_0489	3	{1}	1.720 	0.030 	0.270 	0.535 
flux	r_1239	4	{1}	1.016 	0.262 	1.063 	2.230 
flux	r_2034	3	{1}	1.957 	0.421 	2.097 	0.798 
flux	r_0959	3	{1}	25.010 	1.143 	4.062 	10.164 
