	Substrate	Uptake	r_2111	r_1634	r_1761	r_1808	r_2033	r_1672	r_1992	r_1654	OxAvail	Media
1	r_1714	-13.33333333	0.36	NaN	19.82608696	0.38	0	NaN	NaN	NaN	aerobic	MIN
2	r_1714	-15.44444444	0.39	NaN	22.4068323	0.37	0	NaN	NaN	NaN	aerobic	MIN
3	r_1714	-19.55555556	0.37	NaN	NaN	NaN	0	NaN	NaN	NaN	aerobic	MIN
4	r_1714	-14.8	0.37	0.4	22	1.1	0	NaN	NaN	NaN	aerobic	MIN
5	r_1714	-15.05555556	0.38	NaN	NaN	NaN	0	NaN	NaN	NaN	aerobic	MIN
6	r_1714	-17.66666667	0.35	NaN	23.51778656	0.34	0	NaN	NaN	NaN	aerobic	MIN
7	r_1714	-11.2	0.37	0.43	15.74	0.12	0	19.58	NaN	NaN	aerobic	MIN
8	r_1714	-13.66666667	0.37	NaN	NaN	NaN	0	NaN	NaN	NaN	aerobic	MIN
9	r_1714	-17.55555556	0.38	NaN	28.22463768	0.41	0	NaN	NaN	NaN	aerobic	MIN
10	r_1714	-25.38888889	0.32	NaN	42.73291925	0.43	0	NaN	NaN	NaN	limited	MIN
11	r_1709	-6.888888889	0.1	NaN	11.14130435	0.41	0	NaN	0	NaN	anaerobic	MIN
12	r_1709	-12.44444444	0.25	NaN	20.256917	0.41	0	NaN	0	NaN	anaerobic	MIN
13	r_2058	-6.076541046	0.32	NaN	19.94202899	NaN	0	NaN	0	NaN	anaerobic	MIN
14	r_1714	-0.3	0.025	0	0	0	0	0.75198	-0.73102	NaN	aerobic	MIN
15	r_1714	-0.6	0.05	0	0	0	0	1.3697	-1.3251	NaN	aerobic	MIN
16	r_1714	-1.1	0.1	0	0	0	0	2.4007	-2.3167	NaN	aerobic	MIN
17	r_1714	-1.7	0.15	0	0	0	0	3.6379	-3.5066	NaN	aerobic	MIN
18	r_1714	-2.3	0.2	0	0	0	0	4.8751	-4.6966	NaN	aerobic	MIN
19	r_1714	-2.8	0.25	0	0	0	0	5.906	-5.6881	NaN	aerobic	MIN
20	r_1714	-3.4	0.28	0.08	0.11	0	0	7.0413	-6.6773	NaN	aerobic	MIN
21	r_1714	-4.5	0.3	0.41	2.3	0	0	8.5667	-6.012	NaN	aerobic	MIN
22	r_1714	-8.6	0.35	0.62	9.5	0.05	0	15.2091	-5.3809	NaN	aerobic	MIN
23	r_1714	-11.1	0.4	0.6	13.9	0.15	0	19.3207	-5.0171	NaN	aerobic	MIN
24	r_1714	-5.771599115	0.1	0	9.52813144	0.703426334	0	9.91	0	NaN	anaerobic	MIN
25	r_1714	-11.94488345	0.2	0	18.2168	1.6502	0	19.19	0	NaN	anaerobic	MIN
26	r_1714	-17.38	0.3	0	27.4696	2.6743	0	29.05	0	NaN	anaerobic	MIN
27	r_1714	-23.65408269	0.4	0	37.2195	3.8483	0	39.52	0	NaN	anaerobic	MIN
28	r_1714	-20.2	0.4	1	30	1.9	0	34.4	NaN	NaN	aerobic	MIN
29	r_1714	-14.22222222	0.41	NaN	25.625	0.46	0	NaN	NaN	NaN	aerobic	MIN
