Exchange reationName	growth rate [h-1]	
EX_glc__D_e	0.11	
EX_glc__D_e	0.12	
EX_glc__D_e	0.2	
EX_glc__D_e	0.21	
EX_glc__D_e	0.21	
EX_glc__D_e	0.22	
EX_glc__D_e	0.26	
EX_gal_e	0.26	
EX_ac_e	0.3	
EX_glc__D_e	0.31	
EX_glc__D_e	0.31	
EX_glc__D_e	0.35	
EX_glc__D_e	0.36	
EX_glc__D_e	0.4	
EX_pyr_e	0.4	
EX_glc__D_e	0.41	
EX_fum_e	0.42	
EX_succ_e	0.44	
EX_glc__D_e	0.46	
EX_gam_e	0.46	
EX_glyc_e	0.47	
EX_man_e	0.47	
EX_glc__D_e	0.49	
EX_glc__D_e	0.5	
EX_glc__D_e	0.51	
EX_glc__D_e	0.55	
EX_xyl__D_e	0.55	
EX_glc__D_e	0.58	
EX_glc__D_e	0.63	
EX_fru_e	0.65	
EX_glc__D_e	0.66	











