(1->3)-beta-D-glucan	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	WQZGKKKJIJFFOK-VFUOTHLCSA-N
(1->6)-beta-D-glucan	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	WQZGKKKJIJFFOK-VFUOTHLCSA-N
(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate	Nc1nc(O)c2c(n1)NCC(COP(=O)([O-])OP(=O)([O-])[O-])=N2	FCQGJGLSOWZZON-UHFFFAOYSA-K
(2E)-3-(methoxycarbonyl)pent-2-enedioic acid	COC(=O)/C(=C/C(=O)[O-])CC(=O)[O-]	BRYKYSQCLNCYQW-DUXPYHPUSA-L
(2R,3R)-2,3-dihydroxy-3-methylpentanoate	CC[C@@](C)(O)[C@@H](O)C(=O)[O-]	PDGXJDXVGMHUIR-UJURSFKZSA-M
(2R,3S)-3-isopropylmalate	CC(C)[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]	RNQHMTFBUSSBJQ-CRCLSJGQSA-L
(2R,3S)-3-methylmalate	C[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]	NPYQJIHHTGFBLN-STHAYSLISA-L
(2S)-2-isopropyl-3-oxosuccinate	CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-]	HIIZAGQWABAMRR-BYPYZUCNSA-L
(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid	C[C@](O)(C(=O)[O-])[C@H](CC(=O)[O-])C(=O)[O-]	HHKPKXCSHMJWCF-WVBDSBKLSA-K
(4-hydroxyphenyl)acetaldehyde	O=CCc1ccc(O)cc1	IPRPPFIAVHPVJH-UHFFFAOYSA-N
(5S,6S)-di-HETE	CCCCC/C=C\C/C=C\C=C\C=C\[C@H](O)[C@@H](O)CCCC(=O)O	UVZBUUTTYHTDRR-WAQVJNLQSA-N
(9Z,12Z)-octadecadienoate	CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-]	OYHQOLUKZRVURQ-HZJYTTRNSA-M
(Indol-3-yl)acetamide	NC(=O)Cc1c[nH]c2ccccc12	ZOAMBXDOGPRZLP-UHFFFAOYSA-N
(N(omega)-L-arginino)succinic acid	N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O	KDZOASGQNOPSCU-WDSKDSINSA-N
(R)-2,3-dihydroxy-3-methylbutanoate	CC(C)(O)[C@@H](O)C(=O)[O-]	JTEYKUFKXGDTEU-VKHMYHEASA-M
(R)-3-hydroxy-cis-hexadec-7-enoyl-CoA	CCCCCCCC/C=C\CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	KZLHPKRIEDLQGG-SQUPIXLDSA-N
(R)-3-hydroxy-cis-octadec-9-enoyl-CoA	CCCCCCCC/C=C\CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	LHAYYTCFPMUQNR-DFXYPYGHSA-N
(R)-3-hydroxy-cis-tetradec-5-enoyl-CoA	CCCCCCCC/C=C\C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	KJJPUIFALMAQPF-SUAKZGBESA-N
(R)-3-hydroxybutanoyl-CoA	C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	QHHKKMYHDBRONY-WZZMXTMRSA-N
