(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C(CO)C(=O)S	DUZIARBDEISQDQ-UHFFFAOYSA-N
(R)-2,3-Dihydroxy-3-methylbutanoate	CC(C)(O)[C@@H](O)C(=O)[O-]	JTEYKUFKXGDTEU-VKHMYHEASA-M
(R)-2,3-Dihydroxy-3-methylpentanoate	CC[C@@](C)(O)[C@@H](O)C(=O)[O-]	PDGXJDXVGMHUIR-UJURSFKZSA-M
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	CCCCCCCCC[C@@H](O)CC(=O)S[*]	QQRNVRGOJRHYNH-LLVKDONJSA-N
(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	CCC[C@@H](O)CC(=O)S[*]	SQSDFFHXRYEMNS-RXMQYKEDSA-N
(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	CCCCCCCCCCCCCCCC(CC(=O)S)O	JUWWOELEMQTFIY-QGZVFWFLSA-N
(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	CCCCCCC=CCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	CCCCCCC=CCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	CCCCCCC=CCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
(R)-Glycerate	C(C(C(=O)O)O)O	RBNPOMFGQQGHHO-UWTATZPHSA-M
(R)-Methylmalonyl-CoA	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	MZFOKIKEPGUZEN-AGCMQPJKSA-N
(R)-Pantoate	CC(C)(CO)C(C(=O)[O-])O	OTOIIPJYVQJATP-BYPYZUCNSA-M
(R)-Pantothenate	CC(C)(CO)C(C(=O)NCCC(=O)[O-])O	GHOKWGTUZJEAQD-ZETCQYMHSA-M
(R)-S-Lactoylglutathione	CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O	VDYDCVUWILIYQF-CSMHCCOUSA-N
(S)-2-Aceto-2-hydroxybutanoate	CC[C@](O)(C(C)=O)C(=O)[O-]	VUQLHQFKACOHNZ-LURJTMIESA-M
(S)-2-Acetolactate	CC(=O)C(C)(C(=O)O)O	NMDWGEGFJUBKLB-YFKPBYRVSA-N
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	Nc1c(C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	NAQGHJTUZRHGAC-ZZZDFHIKSA-J
(S)-3-Methyl-2-oxopentanoate	CC[C@H](C)C(=O)C(=O)[O-]	JVQYSWDUAOAHFM-BYPYZUCNSA-M
(S)-Dihydroorotate	C1C(NC(=O)NC1=O)C(=O)O	UFIVEPVSAGBUSI-REOHCLBHSA-N
(S)-Methylmalonyl-CoA	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	MZFOKIKEPGUZEN-IBNUZSNCSA-N
1,2-didodecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCCCCCCC	OKLASJZQBDJAPH-UHFFFAOYSA-M
1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCCCC=CCCCCCC	YLDMPBGXNLGSQO-UHFFFAOYSA-M
1,2-dihexadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCCCC	PORPENFLTBBHSG-MGBGTMOVSA-L
1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCCCCCC=CCCCCCC	LMYYBYHAZAFVTR-UHFFFAOYSA-M
1,2-dioctadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCCCCCC	YFWHNAWEOZTIPI-DIPNUNPCSA-L
1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCC=CCCCCCC	YHCODXWOEMUSCB-UHFFFAOYSA-M
1,2-ditetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCCCCCCC	OZSITQMWYBNPMW-UHFFFAOYSA-N
1,4-Dihydroxy-2-naphthoate	O=C([O-])c1cc(O)c2ccccc2c1O	VOJUXHHACRXLTD-UHFFFAOYSA-M
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	O=C([O-])c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	QKMBYNRMPRKVTO-MNOVXSKESA-K
1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	QOUSHGMTBIIAHR-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-AMP	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	RTQMRTSPTLIIHM-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-ATP	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	RKNHJBVBFHDXGR-KEOHHSTQSA-H
1-Pyrroline-5-carboxylate	O=C([O-])[C@@H]1CCC=N1	DWAKNKKXGALPNW-BYPYZUCNSA-M
1-deoxy-D-xylulose 5-phosphate	CC(=O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]	AJPADPZSRRUGHI-RFZPGFLSSA-L
1-dodecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	STTKJLVEXMKLNA-CQSZACIVSA-L
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO	MDSIZRKJVDMQOQ-GORDUTHDSA-K
1-octadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	LAYXSTYJRSVXIH-HXUWFJFHSA-L
1-tetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCC/C=C\CCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	ABWKYTQKHWCOFM-XITLMJRVSA-L
1-tetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	FAZBDRGXCKPVJU-MRXNPFEDSA-L
