EnvIndex	Exchange	Condition	Iteration	Rxn	OldKcat	NewKcat	FoldChange
1	EX_glc__D_e	aerobic	NaN	ACCOAC	0.342513442551738	0.376764786806911	1.1
1	EX_glc__D_e	aerobic	NaN	ACGS	0.22	0.38974342	1.771561
1	EX_glc__D_e	aerobic	NaN	FBA_EXP_2	14.2	59.3169240057023	4.17724816941566
1	EX_glc__D_e	aerobic	NaN	PRFGS	0.05	1.70019742930789	34.0039485861578
1	EX_glc__D_e	aerobic	NaN	SERAT	0.068	0.19401193601548	2.85311670611
2	EX_malt_e	aerobic	NaN	MALTabcpp	0.99733	25.4794575833455	25.5476698618767
2	EX_malt_e	aerobic	NaN	PDH	37.9	108.133123161569	2.85311670611
3	EX_ac_e	aerobic	NaN	ACONTa_EXP_1	5.3	43.1434571750251	8.14027493868399
3	EX_ac_e	aerobic	NaN	ACONTb_EXP_1	5.2	42.3294296811568	8.14027493868399
3	EX_ac_e	aerobic	NaN	ATPS4rpp_EXP_1	20	57.0623341222	2.85311670611
3	EX_ac_e	aerobic	NaN	CYTBO3_4pp	21.0680106842803	54.6449938616584	2.5937424601
12	EX_lac__L_e	aerobic	NaN	CYTBO3_4pp	54.6449938616584	66.1204425726066	1.21
12	EX_lac__L_e	aerobic	NaN	L_LACt2rpp_EXP_2	26	50.6666446	1.9487171
13	EX_glcn_e	aerobic	NaN	ACCOAC	0.376764786806911	0.455885392036363	1.21
13	EX_glcn_e	aerobic	NaN	ACGS	0.38974342	0.4715895382	1.21
13	EX_glcn_e	aerobic	NaN	ACt2rpp_REV	26	31.46	1.21
13	EX_glcn_e	aerobic	NaN	GLCNt2rpp_EXP_3	26	55.73330906	2.14358881
13	EX_glcn_e	aerobic	NaN	GNK_EXP_1	9.5	24.64055337095	2.5937424601
13	EX_glcn_e	aerobic	NaN	PDH	108.133123161569	158.317705620853	1.4641
13	EX_glcn_e	aerobic	NaN	PRFGS	1.70019742930789	1.87021717223868	1.1
13	EX_glcn_e	aerobic	NaN	SERAT	0.19401193601548	0.234754442578731	1.21
13	EX_glcn_e	aerobic	NaN	TALA_EXP_1	13	14.3	1.1
16	EX_mal__L_e	aerobic	NaN	MALt2_2pp	26	38.0666	1.4641
17	EX_g6p_e	aerobic	NaN	G6Pt6_2pp	26	41.87326	1.61051
17	EX_g6p_e	aerobic	NaN	PIt2rpp_EXP_1	26	41.87326	1.61051
21	EX_xyl__D_e	aerobic	NaN	XYLI1	5	9.7435855	1.9487171
