	Substrate	Uptake	biomass	EX_ac_e	EX_etoh_e	EX_succ_e	EX_for_e	EX_co2_e	EX_o2_e	EX_nh4_e	OxAvail	Media
1	EX_glc__D_e	-2.8	0.2	0	Nan	Nan	Nan	8.7	-8.3	Nan	aerobic	MIN
2	EX_glc__D_e	-9.53	0.73	3.49	0	0	0	Nan	Nan	Nan	aerobic	MIN
3	EX_glc__D_e	-16.69	0.46	11.71	11.22	1.86	22.17	Nan	0	Nan	anaerobic	MIN
4	EX_glc__D_e	-3.008	0.3	Nan	Nan	Nan	Nan	7.385	-7.413	-2.367	aerobic	MIN
5	EX_glc__D_e	-10	0.3	7.5	8.7	1.2	11.3	Nan	0	Nan	anaerobic	MIN
6	EX_ac_e	-12.35	0.261	Nan	Nan	Nan	Nan	Nan	-13.73	Nan	aerobic	MIN
7	EX_ac_e	-11.28	0.194	Nan	Nan	Nan	Nan	Nan	-13.48	Nan	aerobic	MIN
8	EX_ac_e	-11.31	0.212	Nan	Nan	Nan	Nan	Nan	-13.37	Nan	aerobic	MIN
9	EX_ac_e	-14.61	0.273	Nan	Nan	Nan	Nan	Nan	-17.03	Nan	aerobic	MIN
10	EX_ac_e	-13.54	0.248	Nan	Nan	Nan	Nan	Nan	-14.8	Nan	aerobic	MIN
11	EX_ac_e	-10.97	0.174	Nan	Nan	Nan	Nan	Nan	-12.28	Nan	aerobic	MIN
12	EX_ac_e	-10.52	0.186	Nan	Nan	Nan	Nan	Nan	-12.62	Nan	aerobic	MIN
13	EX_ac_e	-10.94	0.212	Nan	Nan	Nan	Nan	Nan	-13.18	Nan	aerobic	MIN
14	EX_ac_e	-15.5	0.305	Nan	Nan	Nan	Nan	Nan	-16.66	Nan	aerobic	MIN
15	EX_succ_e	-3.14	0.155	Nan	Nan	Nan	Nan	Nan	-5.91	Nan	aerobic	MIN
16	EX_succ_e	-4.2	0.229	Nan	Nan	Nan	Nan	Nan	-7.63	Nan	aerobic	MIN
17	EX_succ_e	-4.55	0.229	Nan	Nan	Nan	Nan	Nan	-7.49	Nan	aerobic	MIN
18	EX_succ_e	-5.54	0.347	Nan	Nan	Nan	Nan	Nan	-11.3	Nan	aerobic	MIN
19	EX_succ_e	-6.12	0.342	Nan	Nan	Nan	Nan	Nan	-12.75	Nan	aerobic	MIN
20	EX_succ_e	-6.34	0.339	Nan	Nan	Nan	Nan	Nan	-12.26	Nan	aerobic	MIN
21	EX_succ_e	-6.54	0.334	Nan	Nan	Nan	Nan	Nan	-13.08	Nan	aerobic	MIN
22	EX_succ_e	-8	0.357	Nan	Nan	Nan	Nan	Nan	-14.13	Nan	aerobic	MIN
23	EX_succ_e	-9	0.392	Nan	Nan	Nan	Nan	Nan	-14.93	Nan	aerobic	MIN
24	EX_succ_e	-10.19	0.483	Nan	Nan	Nan	Nan	Nan	-17.78	Nan	aerobic	MIN
25	EX_succ_e	-10.58	0.46	Nan	Nan	Nan	Nan	Nan	-16.96	Nan	aerobic	MIN
26	EX_succ_e	-11.03	0.46	Nan	Nan	Nan	Nan	Nan	-18.36	Nan	aerobic	MIN
27	EX_succ_e	-11.05	0.422	Nan	Nan	Nan	Nan	Nan	-18.27	Nan	aerobic	MIN
28	EX_succ_e	-11.4	0.468	Nan	Nan	Nan	Nan	Nan	-17.68	Nan	aerobic	MIN
29	EX_succ_e	-11.66	0.487	Nan	Nan	Nan	Nan	Nan	-19.82	Nan	aerobic	MIN
30	EX_succ_e	-11.73	0.505	Nan	Nan	Nan	Nan	Nan	-19.97	Nan	aerobic	MIN
31	EX_succ_e	-11.81	0.48	Nan	Nan	Nan	Nan	Nan	-19.2	Nan	aerobic	MIN
32	EX_succ_e	-12.15	0.454	Nan	Nan	Nan	Nan	Nan	-19.01	Nan	aerobic	MIN
33	EX_succ_e	-12.22	0.496	Nan	Nan	Nan	Nan	Nan	-18.24	Nan	aerobic	MIN
34	EX_succ_e	-12.59	0.506	Nan	Nan	Nan	Nan	Nan	-18.43	Nan	aerobic	MIN
35	EX_succ_e	-12.81	0.5	Nan	Nan	Nan	Nan	Nan	-18.05	Nan	aerobic	MIN
36	EX_succ_e	-12.93	0.505	Nan	Nan	Nan	Nan	Nan	-18.91	Nan	aerobic	MIN
37	EX_succ_e	-13.04	0.508	Nan	Nan	Nan	Nan	Nan	-19.27	Nan	aerobic	MIN
38	EX_succ_e	-14.64	0.51	Nan	Nan	Nan	Nan	Nan	-19.49	Nan	aerobic	MIN
39	EX_glc__D_e	-0.89	0.04	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
40	EX_glc__D_e	-1.14	0.05	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
41	EX_glc__D_e	-1.67	0.1	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
42	EX_glc__D_e	-1.7	0.11	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
43	EX_glc__D_e	-2.81	0.19	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
44	EX_glc__D_e	-3.05	0.21	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
45	EX_glc__D_e	-3.08	0.21	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
46	EX_glc__D_e	-3.48	0.28	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
47	EX_glc__D_e	-3.62	0.3	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
48	EX_glc__D_e	-4.14	0.34	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
49	EX_glc__D_e	-4.8	0.4	0.16	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
50	EX_glc__D_e	-5.05	0.4	0.68	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
51	EX_glc__D_e	-5.6	0.41	1.33	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
52	EX_glc__D_e	-6.58	0.51	1.66	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
53	EX_glc__D_e	-6.4	0.52	1.27	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
54	EX_glc__D_e	-6.76	0.54	1.99	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
55	EX_glc__D_e	-7.26	0.55	2.51	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
56	EX_glc__D_e	-7.85	0.59	6.11	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
57	EX_glc__D_e	-7.6	0.65	4.8	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
58	EX_glc__D_e	-9.65	0.65	6.76	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
59	EX_glc__D_e	-8.59	0.69	3.91	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
60	EX_glc__D_e	-7.54	0.61	2.72	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
61	EX_glc__D_e	-8.6	0.66	4.3	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
62	EX_glc__D_e	-2.66	0.21	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
63	EX_glc__D_e	-3.81	0.22	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
64	EX_glc__D_e	-4.91	0.26	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
65	EX_glc__D_e	-2.78	0.31	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
66	EX_glc__D_e	-3.25	0.36	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
67	EX_glc__D_e	-4.36	0.41	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
68	EX_glc__D_e	-5.52	0.46	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
69	EX_glc__D_e	-6.24	0.51	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
