	Substrate	Uptake	BIOMASS_Ec_iML1515_core_75p37M	EX_ac_e	EX_etoh_e	EX_glyc_e	EX_pyr_e	EX_co2_e	EX_o2_e	EX_nh4_e	OxAvail	Media
1	EX_glc__D_e	Nan	0.74	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
2	EX_malt_e	Nan	0.52	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
3	EX_ac_e	Nan	0.305	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
4	EX_acgam_e	Nan	0.61	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
5	EX_glyc_e	Nan	0.47	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
6	EX_akg_e	Nan	0.24	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
7	EX_ala__L_e	Nan	0.24	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
8	EX_fru_e	Nan	0.54	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
9	EX_gsn_e	Nan	0.37	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
10	EX_rib__D_e	Nan	0.41	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
11	EX_gal_e	Nan	0.24	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
12	EX_lac__L_e	Nan	0.41	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
13	EX_glcn_e	Nan	0.68	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
14	EX_sbt__D_e	Nan	0.48	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
15	EX_gam_e	Nan	0.4	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
16	EX_mal__L_e	Nan	0.55	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
17	EX_g6p_e	Nan	0.78	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
18	EX_mnl_e	Nan	0.61	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
19	EX_tre_e	Nan	0.48	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
20	EX_man_e	Nan	0.38	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
21	EX_xyl__D_e	Nan	0.51	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
