(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
(2,3-Dihydroxybenzoyl)adenylate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O	ULPVJDOMCRTJSN-RVXWVPLUSA-M
(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	C[C@@]1(O)OC[C@H](O)C1(O)O	BVIYGXUQVXBHQS-IUYQGCFVSA-N
(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one	C[C@@]1(O)OC[C@H](O)C1=O	CCVJVKWZZMMBHB-WVZVXSGGSA-N
(3R)-3-Hydroxyacyl-[acyl-carrier protein]		DUZIARBDEISQDQ-UHFFFAOYSA-N
(3S)-3,6-Diaminohexanoate	[NH3+]CCC[C@H]([NH3+])CC(=O)[O-]	QKEWQOJCHPFEAF-YFKPBYRVSA-O
(3S)-3-Hydroxyadipyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)CCC(=O)[O-]	OTEACGAEDCIMBS-NOTSHUFBSA-I
(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione	CC(=O)C(=O)C(COP(=O)(O)O)O	DTZHMTDUIGHESZ-BYPYZUCNSA-N
(O16 antigen)x4 core oligosaccharide lipid A	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO[C@H]7OC([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]7O)[C@@H](O[C@H]7O[C@H](CO[C@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@H]9O[C@H](CO[C@@H]%10O[C@@H]([C@H](O)CO)[C@H](O)[C@H]%10O[C@H]%10O[C@H](CO[C@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@@H](O)[C@H](O[C@@H]%11O[C@@H](C)[C@H](O)[C@@H](O[C@H]%12O[C@H](CO[C@@H]%13O[C@@H]([C@H](O)CO)[C@H](O)[C@H]%13O[C@H]%13O[C@H](CO[C@H]%14O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%14O)[C@@H](O)[C@H](O[C@@H]%14O[C@@H](C)[C@H](O)[C@@H](O[C@H]%15O[C@H](CO[C@@H]%16O[C@@H]([C@H](O)CO)[C@H](O)[C@H]%16O[C@H]%16O[C@H](CO[C@H]%17O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%17O)[C@@H](O)[C@H](O[C@@H]%17O[C@@H](C)[C@H](O)[C@@H](O[C@H]%18O[C@H](CO[C@@H]%19O[C@@H]([C@H](O)CO)[C@H](O)[C@H]%19O)[C@@H](O)[C@H](O)[C@H]%18O)[C@H]%17OC(C)=O)[C@H]%16NC(C)=O)[C@@H](O)[C@H](O)[C@H]%15O)[C@H]%14OC(C)=O)[C@H]%13NC(C)=O)[C@@H](O)[C@H](O)[C@H]%12O)[C@H]%11OC(C)=O)[C@H]%10NC(C)=O)[C@@H](O)[C@H](O)[C@H]9O)[C@H]8OC(C)=O)[C@H]7NC(C)=O)[C@H](O)[C@H]6O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	AVXFXMNEYSZWON-ORYYFELFSA-D
(R)-2,3-Dihydroxy-3-methylbutanoate	CC(C)(O)[C@@H](O)C(=O)[O-]	JTEYKUFKXGDTEU-VKHMYHEASA-M
(R)-2,3-Dihydroxy-3-methylpentanoate	CC[C@@](C)(O)[C@@H](O)C(=O)[O-]	PDGXJDXVGMHUIR-UJURSFKZSA-M
