(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
(-)-trans-carveol	C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1	BAVONGHXFVOKBV-ZJUUUORDSA-N
(10Z)-heptadecenoic acid	CCCCCC/C=C/CCCCCCCCC(=O)O	GDTXICBNEOEPAZ-BQYQJAHWSA-N
(11R)-HPETE	CCCCC/C=C\C=C\[C@@H](C/C=C\C/C=C\CCCC(=O)O)OO	PCGWZQXAGFGRTQ-WXMXURGXSA-N
(11Z)-eicosenoyl-CoA	CCCCCCCC/C=C\CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	ZDRKXADSROCWCG-FVLDFCIYSA-J
(11Z,14Z)-eicosadienoic acid	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)[O-]	XSXIVVZCUAHUJO-HZJYTTRNSA-M
(11Z,14Z)-eicosadienoyl-CoA	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	YCKYOUVXZZJCIU-YGYQDCEASA-J
(11Z,14Z,17Z)-eicosatrienoic acid	CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O	AHANXAKGNAKFSK-PDBXOOCHSA-N
(11Z,14Z,17Z)-eicosatrienoyl-CoA	CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	BVBYYRVLCDMZNJ-UBQHHBPXSA-J
(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate	CCCCCC(=O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O	VXPBDCBTMSKCKZ-XQHNHVHJSA-N
(13E)-tetranor-16-carboxy-LTE4	N[C@@H](CS[C@H](/C=C/C=C/C=C\C=C\CC(=O)O)[C@@H](O)CCCC(=O)O)C(=O)O	MAFGRSDWXFSHMK-SJPGQPHYSA-N
(13Z)-docosenoyl-CoA	CCCCCCCC/C=C\CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	OWGHRDKRIGXBJM-MVWMFJOUSA-J
(13Z)-eicosenoic acid	CCCCCC/C=C\CCCCCCCCCCCC(=O)O	URXZXNYJPAJJOQ-FPLPWBNLSA-N
(13Z)-eicosenoyl-CoA	CCCCCC/C=C\CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	UZVWVONIQVFUPF-VNNCJAHTSA-J
(13Z)-octadecenoic acid	CCCC/C=C\CCCCCCCCCCCC(=O)[O-]	BDLLSHRIFPDGQB-WAYWQWQTSA-M
(13Z,16Z)-docosadienoic acid	CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)[O-]	HVGRZDASOHMCSK-HZJYTTRNSA-M
(13Z,16Z)-docosadienoyl-CoA	CCCCCC=CCC=CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	ZLXWEKYVHIYDIY-HCUKIJCOSA-J
(13Z,16Z)-docosadienoylcarnitine	CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	LDIMXAXYWUCEAM-UTJQPWESSA-N
(15Z)-tetracosenoyl-CoA	CCCCCCCCC=CCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	QHZAQVTVYPHLKK-YVBAAGQKSA-N
(15Z)-tetracosenoylcarnitine	CCCCCCCCC=CCCCCCCCCCCCCCC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C	QGIHQXKFCAACHN-LJAQVGFWSA-N
(18R)-HEPE	CC[C@@H](O)/C=C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	LRWYBGFSVUBWMO-UAAZXLHOSA-N
(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1C=Cc2ccccc2[C@H]1O)C(=O)NCC(=O)O)C(=O)O	HBBDHJOSZGOTBV-OIPACUDHSA-N
(1R,2S)-naphthalene 1,2-oxide	C1=CC2OC2c2ccccc21	XQIJIALOJPIKGX-UHFFFAOYSA-N
(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	N[C@@H](CCC(=O)N[C@@H](CS[C@H]1C=Cc2ccccc2[C@@H]1O)C(=O)NCC(=O)O)C(=O)O	HBBDHJOSZGOTBV-XSWJXKHESA-N
(1S,2R)-naphthalene 1,2-oxide	C1=C[C@H]2O[C@H]2c2ccccc21	XQIJIALOJPIKGX-ZJUUUORDSA-N
(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol	Cc1c2ccccc2c(C)c2c3c(ccc12)[C@H](O)[C@@H](O)[C@H]1O[C@@H]31	SZIWZGXOWBSPTO-ZGXWSNOMSA-N
(24R)-24,25-dihydroxycalciol	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O	FCKJYANJHNLEEP-XRWYNYHCSA-N
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)(O)O)[C@]1([H])[C@H](O)C2	PXHZOQNODUPJKC-MTLGCJAASA-N
