exchangeRxn	DiBartolomeo2020_Gluc	DiBartolomeo2020_Etoh	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38	Yu2021_N30_005	Yu2021_std_010	Yu2021_N30_010	Yu2021_N30_013	Yu2021_N30_018	Yu2021_N30_030	Yu2021_N30_035	Yu2021_Gln_glc1	Yu2021_Gln_glc2	Yu2021_Gln_N30	Yu2021_Phe_std	Yu2021_Phe_N30	Yu2021_Ile_std	Yu2021_Ile_N30	Yu2020_Clim	Yu2020_CN30	Yu2020_CN50	Yu2020_CN115
r_1714	-14.38395556	0	-1.070928479	-0.330985861	-0.612502013	-1.239193031	-1.119457197	-1.102893731	-1.367977314	-1.075707498	-1.11071699	-7.754721613	-0.764922992	-1.135134924	-1.503393461	-2.071215219	-3.099026493	-8.399851702	-13.08766874	-0.794186379	-0.740082417	-1.313260379	-1.506780512	-1.67260856	-1.560999875	-1.593550005	-2.439	-4.6245	-5.7955	-5.982
r_1808	0.666410217	-0.202562355	0.000857154	0	0.010382822	0.022576664	0.0043141	0.028324859	0.082729509	0.001741422	0.00304475	0.743250978	0.006830174	0	0	0.039031275	0.012579244	0	0	0	0.007712205	0.044549965	0	0	0.003490054	0.03662195	0	0	0.1205	0.25
r_1634	0.444200167	0.0515425	0	0.003190668	0	0.018766014	0	0	0	0.00173733	0	0.139480174	0	0	0.063579673	0.238725224	0.259962513	0.400664991	0.528987621	0	0	0.063046732	0	0	0	0.104272361	0.0055	0.2405	0.698	1.0435
r_1761	13.55883406	-3.317118841	0	-2.443874722	-1.748647113	-0.666640565	0	0	0	0	0.002303701	10.70292441	0	0.005588825	0	0.138573929	1.279278077	7.313760683	11.96660558	0	0	0.006024426	0	0	0.042979822	0.136591696	0	3.522	4.193	4.858
r_1992	-1000	-1000	-2.446472988	-4.650073884	-5.033808057	-5.265098974	-2.572662407	-2.364637467	-4.08889828	-2.32888131	-2.592522769	-7.545263812	-2.087629259	-2.336666667	-3.654046407	-4.956301607	-5.567231262	-8.676067326	-12.67097092	-2.350806989	-1.562878329	-3.537400262	-5.517509996	-5.629302191	-4.672922563	-4.230827403	-6.5045	-7.103	-7.16	-4.9005
r_1672	0	0	2.62755453	2.982282896	2.779085985	3.42415554	2.877416897	2.866016838	4.118679926	2.716737994	2.940085815	15.09052762	2.310730951	1.99	3.253882886	5.395164416	6.939414854	15.38411975	21.02764001	2.686367438	2.519688008	4.109634405	5.690243121	5.942488858	4.961981267	4.547904755	6.053	10.8545	10.179	9.634
r_1654	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-0.119493593	-2.118613141	-0.30664262	-0.425879738	-0.636327584	-1.736440753	-2.746757592	0	0	0	0	0	0	0	-500	-1000	-1000	-1000
r_1891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.716393262	-4.499207531	-0.149733966	0	0	0	0	0	0	0	0
r_1903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.902904584	-0.332391914	0	0	0	0	0	0
r_1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.067289826	-0.319941031	0	0	0	0
r_2033	0	0	0	0	0	0	0	0	0	0	0	0	0.000423488	0.000139815	0.015951603	0.025205896	0.030179573	0.05350268	0.095258149	0.005421566	0.031672438	0.800447232	0.070764451	0.260772957	0.157396658	0.733195987	0.002	0.035	0.0615	0.083
r_2056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000963844	0.000898983	0.025163291	0.023238493	0	0	0.003706541	0	0	0	0	0.0005	0.0215	0.0225	0.032
