reaction_id,product_name
r_1549,"(R,R)-2,3-butanediol"
r_1589,"2-phenylethanol"
r_1808,"glycerol"
r_1865,"isoamylol"
r_1866,"isobutanol"
r_1683,"choline"
r_1841,"hypoxanthine"
r_1630,"xanthine"
r_1807,"glutathione"
r_1873,"L-alanine"
r_1879,"L-arginine"
r_1880,"L-asparagine"
r_1881,"L-aspartate"
r_4519,"L-citrulline"
r_1883,"L-cysteine"
r_1889,"L-glutamate"
r_1891,"L-glutamine"
r_1810,"L-glycine"
r_1893,"L-histidine"
r_1896,"L-homoserine"
r_1897,"L-isoleucine"
r_1899,"L-leucine"
r_1900,"L-lysine"
r_1902,"L-methionine"
r_1903,"L-phenylalanine"
r_1904,"L-proline"
r_1906,"L-serine"
r_1911,"L-threonine"
r_1912,"L-tryptophan"
r_1913,"L-tyrosine"
r_1914,"L-valine"
r_1987,"ornithine"
r_2024,"putrescine"
r_2052,"spermine"
r_1916,"laurate"
r_2189,"oleate"
r_1994,"palmitoleate"
r_1757,"ergosterol"
r_2056,"succinate"
r_1551,"(S)-lactate"
r_1552,"(S)-malate"
r_1586,"2-oxoglutarate"
r_1634,"acetate"
r_1687,"citrate"
r_1798,"fumarate"
r_2188,"hexanoate"
r_2033,"pyruvate"
