KO_ID,KO_Name,Subsystems,GrRule
r_0561,hydroxymethylpyrimidine kinase (ATP),,YOL055C or YPL258C or YPR121W

r_0903,phosphomethylpyrimidine kinase,,YOL055C or YPL258C or YPR121W

r_0781,nicotinamidase,,YGL037C

r_0346,dihydrofolate synthase,,YMR113W

r_4781,HET-P synthase (thiazole synthase),,YGR144W

r_1603,4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase,,YFL058W

r_0524,GTP cyclohydrolase I,,YGR267C

r_1036,thiamine-phosphate diphosphorylase,,YPL214C

r_4782,adenylated thiazole synthase,,YGR144W

r_0081,5-aminolevulinate synthase,,YDR232W

r_1083,uroporphyrinogen-III synthase,,YOR278W

r_0347,dihydroneopterin aldolase,,YNL256W

r_0066,4-amino-4-deoxychorismate synthase,,YNR033W

r_0557,hydroxymethylbilane synthase,,YDL205C

r_0935,porphobilinogen synthase,,YGL040C

