gene_IDs	gene_names	slope	action	essentiality
YAL060W	BDH1	1	OE	nonessential
YGR087C	PDC6	1	OE	nonessential
YLR044C	PDC1	1	OE	nonessential
YLR134W	PDC5	1	OE	nonessential
YDR384C	ATO3	0.106159440683427	KD	nonessential
YGR121C	MEP1	0.106159440683427	KD	nonessential
YNL142W	MEP2	0.106159440683427	KD	nonessential
YPR138C	MEP3	0.106159440683427	KD	nonessential
YOL126C	MDH2	0.0362656725400082	KD	nonessential
YOR222W	ODC2	0.0290947659946548	KD	nonessential
YPL134C	ODC1	0.0290947659946548	KD	nonessential
YNR001C	CIT1	0.0288492652608027	KD	nonessential
YPR001W	CIT3	0.0288492652608027	KD	nonessential
YDL178W	DLD2	0.0285003853262254	KO	nonessential
YEL039C	CYC7	0.0285003853262254	KO	nonessential
YJR048W	CYC1	0.0285003853262254	KO	nonessential
YKL085W	MDH1	0.0265489909078908	KD	nonessential
YHL012W	YHL012W	0.0245455885842554	KD	nonessential
YKL035W	UGP1	0.0245455885842554	KD	nonessential
YKL127W	PGM1	0.0245455885842554	KD	nonessential
YMR105C	PGM2	0.0245455885842554	KD	nonessential
YKL067W	YNK1	0.0216280626886432	KD	essential
YDL141W	BPL1	0.0196420481455022	KD	essential
YNR016C	ACC1	0.0196420481455022	KD	essential
YPR035W	GLN1	0.0153814676150322	KD	essential
YHR137W	ARO9	0.0142538893764024	KD	nonessential
YPR021C	AGC1	0.0124714753910291	KD	nonessential
YGR032W	GSC2	0.0122623425836182	KD	nonessential
YLR342W	FKS1	0.0122623425836182	KD	nonessential
YMR306W	FKS3	0.0122623425836182	KD	nonessential
YPR165W	RHO1	0.0122623425836182	KD	essential
YAL023C	PMT2	0.0116468530825058	KD	nonessential
YDL055C	PSA1	0.0116468530825058	KD	essential
YDL093W	PMT5	0.0116468530825058	KD	nonessential
YDL095W	PMT1	0.0116468530825058	KD	nonessential
YER003C	PMI40	0.0116468530825058	KD	essential
YFL045C	SEC53	0.0116468530825058	KD	essential
YJR143C	PMT4	0.0116468530825058	KD	nonessential
YOR321W	PMT3	0.0116468530825058	KD	nonessential
YPR183W	DPM1	0.0116468530825058	KD	essential
YGL202W	ARO8	0.0111297719706657	KD	nonessential
YHR208W	BAT1	0.0106907224175679	KD	essential
YER081W	SER3	0.00943317234674732	KD	nonessential
YIL074C	SER33	0.00943317234674732	KD	nonessential
YOR335C	ALA1	0.00874314286698807	KD	essential
YLR058C	SHM2	0.00849084412794174	KD	nonessential
YCL009C	ILV6	0.00718303540999736	KD	nonessential
YJR016C	ILV3	0.00718303540999736	KD	essential
YLR355C	ILV5	0.00718303540999736	KD	essential
YMR108W	ILV2	0.00718303540999736	KD	essential
YFR015C	GSY1	0.00592080992053943	KD	nonessential
YJL137C	GLG2	0.00592080992053943	KD	nonessential
YKR058W	GLG1	0.00592080992053943	KD	nonessential
YLR258W	GSY2	0.00592080992053943	KD	nonessential
YJR148W	BAT2	0.00575734119456159	KD	essential
YGL245W	GUS1	0.00575126568473133	KD	essential
YLL018C	DPS1	0.00566932257160972	KD	essential
YCL018W	LEU2	0.00564836030063497	KD	essential
YGL009C	LEU1	0.00564836030063497	KD	essential
YNL104C	LEU4	0.00564836030063497	KD	nonessential
YOR108W	LEU9	0.00564836030063497	KD	nonessential
YPL160W	CDC60	0.00564836030063497	KD	essential
YBR121C	GRS1	0.0055340207956626	KD	nonessential
YPR081C	GRS2	0.0055340207956626	KD	nonessential
YBL068W	PRS4	0.00548454875157479	KD	nonessential
YER099C	PRS2	0.00548454875157479	KD	nonessential
YHL011C	PRS3	0.00548454875157479	KD	nonessential
YKL181W	PRS1	0.00548454875157479	KD	nonessential
YOL061W	PRS5	0.00548454875157479	KD	nonessential
YBR115C	LYS2	0.00545398308538902	KD	essential
YDL131W	LYS21	0.00545398308538902	KD	nonessential
YDL182W	LYS20	0.00545398308538902	KD	nonessential
YDR037W	KRS1	0.00545398308538902	KD	essential
YDR234W	LYS4	0.00545398308538902	KD	essential
YER152C	YER152C	0.00545398308538902	KD	nonessential
YGL154C	LYS5	0.00545398308538902	KD	essential
YIL094C	LYS12	0.00545398308538902	KD	essential
YIR034C	LYS1	0.00545398308538902	KD	essential
YJL060W	BNA3	0.00545398308538902	KD	nonessential
YJL200C	ACO2	0.00545398308538902	KD	nonessential
YNR050C	LYS9	0.00545398308538902	KD	essential
YPL262W	FUM1	0.00514753172181006	KD	nonessential
YGR204W	ADE3	0.0051419169656087	KD	essential
YDR127W	ARO1	0.00513839817395874	KD	essential
YGL148W	ARO2	0.00513839817395874	KD	essential
YGR094W	VAS1	0.00504236211693295	KD	essential
YJL130C	URA2	0.00484196988797174	KD	essential
YJR109C	CPA2	0.00484196988797174	KD	nonessential
YOR303W	CPA1	0.00484196988797174	KD	nonessential
YOL064C	MET22	0.00475949096580341	KD	nonessential
YPR060C	ARO7	0.00449543908856511	KD	essential
YLL052C	AQY2	0.0041175731296178	KD	nonessential
YPR192W	AQY1	0.0041175731296178	KD	nonessential
YGR143W	SKN1	0.00409706973570685	KD	nonessential
YPR159W	KRE6	0.00409706973570685	KD	nonessential
YBL076C	ILS1	0.00367219629975902	KD	essential
YKL217W	JEN1	0.00367219629975902	KD	nonessential
YNL065W	AQR1	0.00367219629975902	KD	nonessential
