gene_IDs	gene_names	slope	action	essentiality
YAL060W	BDH1	1	OE	nonessential
YLR044C	PDC1	1	OE	nonessential
YPR138C	MEP3	0.108214321083791	KD	nonessential
YPL134C	ODC1	0.0534703617764748	KD	nonessential
YOL126C	MDH2	0.0369493979406164	KD	nonessential
YNR001C	CIT1	0.0293684322406351	KD	nonessential
YKL085W	MDH1	0.027064263673502	KD	nonessential
YHL012W	YHL012W	0.0250207055343712	KD	nonessential
YMR105C	PGM2	0.0250207055343712	KD	nonessential
YKL067W	YNK1	0.0220467065172977	KD	essential
YDL141W	BPL1	0.0200222496622385	KD	essential
YNR016C	ACC1	0.0200222496622385	KD	essential
YGL202W	ARO8	0.0171308578758713	KD	nonessential
YPR035W	GLN1	0.0156791991587787	KD	essential
YHR137W	ARO9	0.014529794939822	KD	nonessential
YPR021C	AGC1	0.0127218918046172	KD	nonessential
YMR306W	FKS3	0.0124996987500677	KD	nonessential
YPR165W	RHO1	0.0124996987500677	KD	essential
YDL055C	PSA1	0.0118722955197899	KD	essential
YDL093W	PMT5	0.0118722955197899	KD	nonessential
YER003C	PMI40	0.0118722955197899	KD	essential
YFL045C	SEC53	0.0118722955197899	KD	essential
YPR183W	DPM1	0.0118722955197899	KD	essential
YHR208W	BAT1	0.0108976575013258	KD	essential
YIL074C	SER33	0.00957651298500927	KD	nonessential
YOR335C	ALA1	0.00891237960617364	KD	essential
YLR058C	SHM2	0.0086467182820022	KD	nonessential
YJR016C	ILV3	0.00732207391236844	KD	essential
YLR355C	ILV5	0.00732207391236844	KD	essential
YMR108W	ILV2	0.00732207391236844	KD	essential
YFR015C	GSY1	0.00603541614161275	KD	nonessential
YKR058W	GLG1	0.00603541614161275	KD	nonessential
YGL245W	GUS1	0.00586259012097597	KD	essential
YJR148W	BAT2	0.00585522286475524	KD	essential
YLL018C	DPS1	0.0057790608751016	KD	essential
YCL018W	LEU2	0.00575769284770268	KD	essential
YGL009C	LEU1	0.00575769284770268	KD	essential
YNL104C	LEU4	0.00575769284770268	KD	nonessential
YPL160W	CDC60	0.00575769284770268	KD	essential
YPR081C	GRS2	0.00564114012886934	KD	nonessential
YER099C	PRS2	0.00559071047862258	KD	nonessential
YKL181W	PRS1	0.00559071047862258	KD	nonessential
YBR115C	LYS2	0.00555955316779378	KD	essential
YDL131W	LYS21	0.00555955316779378	KD	nonessential
YDR037W	KRS1	0.00555955316779378	KD	essential
YDR234W	LYS4	0.00555955316779378	KD	essential
YER152C	YER152C	0.00555955316779378	KD	nonessential
YGL154C	LYS5	0.00555955316779378	KD	essential
YIL094C	LYS12	0.00555955316779378	KD	essential
YIR034C	LYS1	0.00555955316779378	KD	essential
YJL200C	ACO2	0.00555955316779378	KD	nonessential
YNR050C	LYS9	0.00555955316779378	KD	essential
YOR222W	ODC2	0.00555955316779378	KD	nonessential
YPL262W	FUM1	0.00524716997508289	KD	nonessential
YDR127W	ARO1	0.00523785963362233	KD	essential
YGL148W	ARO2	0.00523785963362233	KD	essential
YGR204W	ADE3	0.00523295544882709	KD	essential
YGR094W	VAS1	0.00513996465362312	KD	essential
YJL130C	URA2	0.00493569353032111	KD	essential
YOL064C	MET22	0.00485161810400644	KD	nonessential
YPR060C	ARO7	0.004582455103759	KD	essential
YPR192W	AQY1	0.00419727497830264	KD	nonessential
YPR159W	KRE6	0.00417637471022636	KD	nonessential
YBL076C	ILS1	0.00374327720703403	KD	essential
YNL065W	AQR1	0.00374327720703403	KD	nonessential
YML075C	HMG1	0.0037418868912501	KD	nonessential
YML126C	ERG13	0.0037418868912501	KD	essential
YMR208W	ERG12	0.0037418868912501	KD	essential
YMR220W	ERG8	0.0037418868912501	KD	essential
YNR043W	MVD1	0.0037418868912501	KD	essential
YPL028W	ERG10	0.0037418868912501	KD	essential
