pairID,enzymeID,rxnID,rxnName,kcat,kcatMin,kcatMax,newKcat,foldChange,logFold
21,P31373,r_0310,"cystathionine g-lyase",0.321350496273047,0.321350496273047,4.461003,0.321678912295871,1.00102198697881,0.00102146510564898
73,P39714,r_0003_REV,"(R,R)-butanediol dehydrogenase (reversible)",24.0096537776022,2.084207,141.74182,53.3547861805202,2.22222222255837,0.798507696369039
77,P39713,r_4154,"Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)",6.45055244797121,2.957132,23.672084,23.672084,3.66977622318926,1.30013068559962
464,P38145,r_0968,"riboflavin synthase",0.0361458793069726,0.0361458793069726,8.791353,0.0361638432179597,1.0004969836488,0.000496860193329638
701,P43123,r_1069_REV,"UDP-N-acetylglucosamine diphosphorylase (reversible)",1.58845810969065,1.58845810969065,47.696503,47.6965027502478,30.0269188461865,3.40209427420665
756,Q12680,r_0472,"glutamate synthase (NADH2)",1.33992810389256,1.33992810389256,38.18003,1.36763521383711,1.02067805717639,0.0204671683774759
1182,Q06350,r_4331_EXP_1,"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase",0.215334889530377,0.215334889530377,14.655535,0.218196062807383,1.01328708637623,0.0131995872640431
1228,P15454,r_0330,"deoxyguanylate kinase (dGMP:ATP)",978.963546901036,1.168036,978.963546901036,897.584738567352,0.91687248356561,-0.086786874666042
1341,P38628,r_0890,"phosphoglucosamine mutase",2.36544481873871,0.048931,3.708731,3.708731,1.5678788913696,0.449723681298294
1369,P40009,r_0793,"nucleoside diphosphatase",14.179935988118,1.109627,167.99453,167.99453,11.8473405056814,2.47210341249268
1463,P08456,r_2447,"PS synthase (1-16:1, 2-16:1), ER membrane",292.228459324335,0.270574,292.228459324335,182.593782098059,0.624832305930218,-0.470271975759093
1507,P21524,r_0976_EXP_1,"ribonucleotide reductase",2.25154096159082,0.264446,4.803325,3.63437525476038,1.6141723898252,0.478822373205537
1649,P21147,r_2183,"stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane",0.454225708329778,0.454225708329778,5.544356,0.458575585915599,1.00957646717491,0.00953090347501997
2054,P38818,r_4192,"Cytochrome c lysine N-methyltransferase 1 (EC 2.1.1.59)",1.34492254903872e-05,1.34492254903872e-05,3.174717,4.62262396186363e-05,3.43709306172882,1.23462607394246
2055,P38818,r_4192_REV,"Cytochrome c lysine N-methyltransferase 1 (EC 2.1.1.59) (reversible)",0.000156373475807138,0.000156373475807138,3.186294,1.69159290897897e-05,0.108176460249901,-2.2239914940032
2133,P39002,r_2210,"fatty-acid--CoA ligase (behenate), cell envelope",0.0653228433558543,0.0653228433558543,9.438859,0.0655751906155509,1.00386307831583,0.00385563579001275
2279,P09938,r_0978_EXP_4,"ribonucleotide reductase",231.790437849301,0.255694,231.790437849301,222.989175035932,0.96202922391867,-0.0387104504840058
2608,P36107,r_3501,"IPC synthase (PI (1-16:1, 2-16:1) ceramide-4 (C26))",0.053490995016839,0.053490995016839,1.960307,0.118475452865954,2.21486724688253,0.795192468013661
3059,Q12358,r_4706,"alkanesulfonate dioxygenase",3.08032472888463,0.673851,7.100629,4.04951264891742,1.31463822984135,0.273561517393115
3501,Q04458,r_4303,"Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3)",4.07692963630143,0.425201,14.748911,14.748911,3.61765159463977,1.28582508455833
3565,P07277,r_0737,"mevalonate kinase (gtp)",5.18854950700383,0.572218,9.992856,9.992856,1.92594404014282,0.65541625799164
3570,Q05016,r_0676,"L-allo-threonine dehydrogenase",4.4533635600465,1.292658,7.892717,7.892717,1.77230466221302,0.57228076867586
3831,P39006,r_2466,"PS decarboxylase (1-18:0, 2-16:1), mitochondrial membrane",183.479819313818,0.450617,183.479819313818,35.7216179631186,0.19468962906499,-1.63634863425283
3964,P40345,r_2910_REV,"PE (1-18:0, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",2.64052740323458e-05,2.64052740323458e-05,8.373541,1.16793759099345e-05,0.442312240184577,-0.815739220548705
4004,P40345,r_2930_REV,"PE (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",4.55953202428643e-05,4.55953202428643e-05,7.722742,7.72274190737843,169375.757561151,12.0398749432919
4009,P40345,r_2933,"PE (1-16:1, 2-16:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane",0.00013347874678558,0.00013347874678558,7.646324,7.64632399999851,57284.9549770015,10.95579330238
4069,P40345,r_2963,"PC (1-18:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",0.000155744255367164,0.000155744255367164,5.864446,5.864446000151,37654.3326514719,10.5362033036715
4122,P40345,r_2989_REV,"PC (1-16:1, 2-16:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.000199099436116568,0.000199099436116568,6.855312,6.8553119999363,34431.5992734538,10.4467300052525
4127,P40345,r_2992,"PC (1-16:0, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane",8.09130472308824e-05,8.09130472308824e-05,5.549274,5.54927400006468,68583.1789801468,11.1358025792754
