gene_IDs	gene_names	slope	action	essentiality
YAL060W	BDH1	1	OE	nonessential
YGR087C	PDC6	1	OE	nonessential
YLR044C	PDC1	1	OE	nonessential
YLR134W	PDC5	1	OE	nonessential
YDR384C	ATO3	0.106159440683432	KD	nonessential
YGR121C	MEP1	0.106159440683432	KD	nonessential
YNL142W	MEP2	0.106159440683432	KD	nonessential
YPR138C	MEP3	0.106159440683432	KD	nonessential
YOL126C	MDH2	0.0362656725400134	KD	nonessential
YOR222W	ODC2	0.0290947659929492	KD	nonessential
YPL134C	ODC1	0.0290947659929492	KD	nonessential
YNR001C	CIT1	0.0288492652608051	KD	nonessential
YPR001W	CIT3	0.0288492652608051	KD	nonessential
YDL178W	DLD2	0.0285003849085698	KO	nonessential
YEL039C	CYC7	0.0285003849085698	KO	nonessential
YJR048W	CYC1	0.0285003849085698	KO	nonessential
YKL085W	MDH1	0.0265489909078935	KD	nonessential
YKL127W	PGM1	0.0245455885842579	KD	nonessential
YMR105C	PGM2	0.0245455885842579	KD	nonessential
YHL012W	YHL012W	0.0245455885842579	KD	nonessential
YKL035W	UGP1	0.0245455885842579	KD	nonessential
YKL067W	YNK1	0.0216280626886449	KD	essential
YDL141W	BPL1	0.0196420481455041	KD	essential
YNR016C	ACC1	0.0196420481455041	KD	essential
YPR035W	GLN1	0.0153814676150313	KD	essential
YHR137W	ARO9	0.0142538893764041	KD	nonessential
YPR021C	AGC1	0.0124714753876178	KD	nonessential
YGR032W	GSC2	0.0122623425836195	KD	nonessential
YLR342W	FKS1	0.0122623425836195	KD	nonessential
YMR306W	FKS3	0.0122623425836195	KD	nonessential
YPR165W	RHO1	0.0122623425836195	KD	essential
YER003C	PMI40	0.011646853082507	KD	essential
YDL055C	PSA1	0.011646853082507	KD	essential
YFL045C	SEC53	0.011646853082507	KD	essential
YAL023C	PMT2	0.011646853082507	KD	nonessential
YDL093W	PMT5	0.011646853082507	KD	nonessential
YDL095W	PMT1	0.011646853082507	KD	nonessential
YJR143C	PMT4	0.011646853082507	KD	nonessential
YOR321W	PMT3	0.011646853082507	KD	nonessential
YPR183W	DPM1	0.011646853082507	KD	essential
YGL202W	ARO8	0.0111297719706669	KD	nonessential
YHR208W	BAT1	0.010690722417569	KD	essential
YER081W	SER3	0.00943317234674771	KD	nonessential
YIL074C	SER33	0.00943317234674771	KD	nonessential
YOR335C	ALA1	0.00874314286698894	KD	essential
YLR058C	SHM2	0.00849084412794067	KD	nonessential
YCL009C	ILV6	0.00718303540999807	KD	nonessential
YJR016C	ILV3	0.00718303540999807	KD	essential
YLR355C	ILV5	0.00718303540999807	KD	essential
YMR108W	ILV2	0.00718303540999807	KD	essential
YFR015C	GSY1	0.00592080992054002	KD	nonessential
YJL137C	GLG2	0.00592080992054002	KD	nonessential
YKR058W	GLG1	0.00592080992054002	KD	nonessential
YLR258W	GSY2	0.00592080992054002	KD	nonessential
YJR148W	BAT2	0.00575734119456197	KD	essential
YGL245W	GUS1	0.0057512656847319	KD	essential
YLL018C	DPS1	0.00566932257161029	KD	essential
YGL009C	LEU1	0.00564836030063554	KD	essential
YPL160W	CDC60	0.00564836030063554	KD	essential
YNL104C	LEU4	0.00564836030063554	KD	nonessential
YOR108W	LEU9	0.00564836030063554	KD	nonessential
YCL018W	LEU2	0.00564836030063554	KD	essential
YBR121C	GRS1	0.00553402079566315	KD	nonessential
YPR081C	GRS2	0.00553402079566315	KD	nonessential
YBL068W	PRS4	0.00548454875157388	KD	nonessential
YER099C	PRS2	0.00548454875157388	KD	nonessential
YHL011C	PRS3	0.00548454875157388	KD	nonessential
YKL181W	PRS1	0.00548454875157388	KD	nonessential
YOL061W	PRS5	0.00548454875157388	KD	nonessential
YDL131W	LYS21	0.00545398308538957	KD	nonessential
YDL182W	LYS20	0.00545398308538957	KD	nonessential
YDR234W	LYS4	0.00545398308538957	KD	essential
YIL094C	LYS12	0.00545398308538957	KD	essential
YJL200C	ACO2	0.00545398308538957	KD	nonessential
YBR115C	LYS2	0.00545398308538956	KD	essential
YDR037W	KRS1	0.00545398308538956	KD	essential
YGL154C	LYS5	0.00545398308538956	KD	essential
YIR034C	LYS1	0.00545398308538956	KD	essential
YNR050C	LYS9	0.00545398308538956	KD	essential
YER152C	YER152C	0.00545398308538956	KD	nonessential
YJL060W	BNA3	0.00545398308538956	KD	nonessential
YPL262W	FUM1	0.00514753172180874	KD	nonessential
YGR204W	ADE3	0.00514191696560729	KD	essential
YDR127W	ARO1	0.00513839817395898	KD	essential
YGL148W	ARO2	0.00513839817395898	KD	essential
YGR094W	VAS1	0.00504236211693345	KD	essential
YJL130C	URA2	0.00484196988797223	KD	essential
YJR109C	CPA2	0.00484196988797223	KD	nonessential
YOR303W	CPA1	0.00484196988797223	KD	nonessential
YOL064C	MET22	0.00475949096580411	KD	nonessential
YPR060C	ARO7	0.00449543908856556	KD	essential
YLL052C	AQY2	0.00411757312961821	KD	nonessential
YPR192W	AQY1	0.00411757312961821	KD	nonessential
YGR143W	SKN1	0.00409706973570726	KD	nonessential
YPR159W	KRE6	0.00409706973570726	KD	nonessential
YKL217W	JEN1	0.00367219629975939	KD	nonessential
YNL065W	AQR1	0.00367219629975939	KD	nonessential
YBL076C	ILS1	0.00367219629975938	KD	essential
