rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0003_REV	(R,R)-butanediol dehydrogenase (reversible)	1	YAL060W	(R)-acetoin[c] + H+[c] + NADH[c] + 0.48108 prot_pool[c] => (R,R)-2,3-butanediol[c] + NAD[c]
r_0960	pyruvate decarboxylase (acetoin-forming)	1	YGR087C or YLR044C or YLR134W	acetaldehyde[c] + H+[c] + pyruvate[c] + 0.11781 prot_pool[c] => (R)-acetoin[c] + carbon dioxide[c]
r_0714_REV	malate dehydrogenase, cytoplasmic (reversible)	0.0362656725400134	YOL126C	H+[c] + NADH[c] + oxaloacetate[c] + 1.1913e-05 prot_pool[c] => (S)-malate[c] + NAD[c]
r_0811	nucleoside-diphosphate kinase (ATP:UDP)	0.0294256046622873	YKL067W	ATP[c] + UDP[c] + 0.0015988 prot_pool[c] => ADP[c] + UTP[c]
r_0300	citrate synthase	0.0288492652608051	YNR001C or YPR001W	acetyl-CoA[m] + H2O[m] + oxaloacetate[m] + 0.1049 prot_pool[c] => citrate[m] + coenzyme A[m] + H+[m]
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.0285003849085698	(YDL178W and YEL039C) or (YDL178W and YJR048W)	(R)-lactate[m] + 2 ferricytochrome c[m] + 0.005902 prot_pool[c] => 2 ferrocytochrome c[m] + pyruvate[m]
r_0713	malate dehydrogenase	0.0265489909078935	YKL085W	(S)-malate[m] + NAD[m] + 0.05201 prot_pool[c] => H+[m] + NADH[m] + oxaloacetate[m]
r_0888	phosphoglucomutase	0.0245455885842579	YMR105C or YKL127W	D-glucose 6-phosphate[c] + 0.08151 prot_pool[c] => D-glucose 1-phosphate[c]
r_1084	UTP-glucose-1-phosphate uridylyltransferase	0.0245455885842579	YHL012W or YKL035W	D-glucose 1-phosphate[c] + H+[c] + UTP[c] + 0.42411 prot_pool[c] => diphosphate[c] + UDP-D-glucose[c]
r_0109	acetyl-CoA carboxylase, reaction	0.0196420481455041	YDL141W and YNR016C	acetyl-CoA[c] + ATP[c] + bicarbonate[c] + 4.4884 prot_pool[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]
r_0851_REV	phenylalanine transaminase (reversible)	0.0168055608559443	YGL202W	keto-phenylpyruvate[c] + L-glutamate[c] + 0.014144 prot_pool[c] => 2-oxoglutarate[c] + L-phenylalanine[c]
r_0476	glutamine synthetase	0.0153814676150313	YPR035W	ammonium[c] + ATP[c] + L-glutamate[c] + 0.31122 prot_pool[c] => ADP[c] + H+[c] + L-glutamine[c] + phosphate[c]
r_2117	phenylalanine transaminase	0.0142538893764041	YHR137W	L-phenylalanine[c] + pyruvate[c] + 0.0255 prot_pool[c] => keto-phenylpyruvate[c] + L-alanine[c]
r_0800	nucleoside diphosphate kinase	0.0138305207150024	YKL067W	ATP[c] + GDP[c] + 0.00025207 prot_pool[c] => ADP[c] + GTP[c]
r_0005	1,3-beta-glucan synthase	0.0122623425836195	(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)	UDP-D-glucose[c] + 2.58 prot_pool[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]
r_0723_REV	mannose-6-phosphate isomerase (reversible)	0.011646853082507	YER003C	D-fructose 6-phosphate[c] + 1.5455 prot_pool[c] => D-mannose 6-phosphate[c]
r_0722	mannose-1-phosphate guanylyltransferase	0.011646853082507	YDL055C	D-mannose 1-phosphate[c] + GTP[c] + H+[c] + 0.53037 prot_pool[c] => diphosphate[c] + GDP-alpha-D-mannose[c]
r_0902_REV	phosphomannomutase (reversible)	0.011646853082507	YFL045C	D-mannose 6-phosphate[c] + 1.3345 prot_pool[c] => D-mannose 1-phosphate[c]
r_0361	dolichyl-phosphate D-mannosyltransferase	0.011646853082507	YPR183W	dolichyl phosphate[c] + GDP-alpha-D-mannose[c] + 0.018101 prot_pool[c] => dolichyl D-mannosyl phosphate[er] + GDP[c] + H+[c]
r_0362	dolichyl-phosphate-mannose--protein mannosyltransferase	0.011646853082507	(YAL023C and YDL095W) or YDL093W or YJR143C or YOR321W	dolichyl D-mannosyl phosphate[er] + 0.33214 prot_pool[c] => dolichyl phosphate[er] + mannan[er]
r_0096	acetohydroxy acid isomeroreductase	0.0106938745202368	YLR355C	2-acetyllactic acid[m] + H+[m] + NADPH[m] + 0.67347 prot_pool[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
r_0097	acetolactate synthase	0.0106938745202368	(YCL009C and YMR108W) or YMR108W	H+[m] + 2 pyruvate[m] + 0.062796 prot_pool[c] => 2-acetyllactic acid[m] + carbon dioxide[m]
r_0352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.0106938745202368	YJR016C	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 0.42359 prot_pool[c] => 3-methyl-2-oxobutanoate[m] + H2O[m]
r_1088_REV	valine transaminase, mitochondiral (reversible)	0.010690722417569	YHR208W	3-methyl-2-oxobutanoate[m] + L-glutamate[m] + 0.0057725 prot_pool[c] => 2-oxoglutarate[m] + L-valine[m]
r_4570_REV	phosphoglycerate dehydrogenase (reversible)	0.00943317234674771	YIL074C or YER081W	2-oxoglutarate[c] + H+[c] + NADH[c] + 0.002302 prot_pool[c] => NAD[c] + 2-hydroxyglutarate[c]
r_0157	alanyl-tRNA synthetase	0.00874314286698894	YOR335C	ATP[c] + L-alanine[c] + tRNA(Ala)[c] + 0.091574 prot_pool[c] => Ala-tRNA(Ala)[c] + AMP[c] + diphosphate[c]
r_0502	glycine hydroxymethyltransferase	0.00849084412794067	YLR058C	L-serine[c] + THF[c] + 0.017869 prot_pool[c] => 5,10-methylenetetrahydrofolate[c] + H2O[c] + L-glycine[c]
r_0663_REV	isoleucine transaminase (reversible)	0.00597530298241483	YJR148W	(S)-3-methyl-2-oxopentanoate[c] + L-glutamate[c] + 0.0016656 prot_pool[c] => 2-oxoglutarate[c] + L-isoleucine[c]
r_0510	glycogen (starch) synthase	0.00592080992054002	(YFR015C and YJL137C) or (YFR015C and YKR058W) or (YJL137C and YLR258W) or (YKR058W and YLR258W)	UDP-D-glucose[c] + 0.016013 prot_pool[c] => glycogen[c] + H+[c] + UDP[c]
r_0479	glutamyl-tRNA synthetase	0.0057512656847319	YGL245W	ATP[c] + L-glutamate[c] + tRNA(Glu)[c] + 4.2164 prot_pool[c] => AMP[c] + diphosphate[c] + Glu-tRNA(Glu)[c]
r_0220	Aspartyl-tRNA synthetase	0.00566932257161029	YLL018C	ATP[c] + L-aspartate[c] + tRNA(Asp)[c] + 1.2987 prot_pool[c] => AMP[c] + Asp-tRNA(Asp)[c] + diphosphate[c]
r_0023_REV	2-isopropylmalate hydratase (reversible)	0.00564836030063554	YGL009C	2-isopropylmalate[c] + 9.656 prot_pool[c] => 2-isopropylmaleic acid[c] + H2O[c]
r_0060_REV	3-isopropylmalate dehydratase (reversible)	0.00564836030063554	YGL009C	2-isopropylmaleic acid[c] + H2O[c] + 4.4058 prot_pool[c] => (2R,3S)-3-isopropylmalate[c]
r_0701	leucyl-tRNA synthetase	0.00564836030063554	YPL160W	ATP[c] + L-leucine[c] + tRNA(Leu)[c] + 0.29043 prot_pool[c] => AMP[c] + diphosphate[c] + Leu-tRNA(Leu)[c]
r_1087	valine transaminase	0.00564836030063554	YJR148W	2-oxoglutarate[c] + L-valine[c] + 0.0054601 prot_pool[c] => 3-methyl-2-oxobutanoate[c] + L-glutamate[c]
r_0024	2-isopropylmalate synthase	0.00564836030063554	YNL104C or YOR108W	3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] + 0.95731 prot_pool[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c]
r_0699_REV	leucine transaminase (reversible)	0.00564836030063554	YJR148W	4-methyl-2-oxopentanoate[c] + L-glutamate[c] + 0.25907 prot_pool[c] => 2-oxoglutarate[c] + L-leucine[c]
r_0061	3-isopropylmalate dehydrogenase	0.00564836030063554	YCL018W	(2R,3S)-3-isopropylmalate[c] + NAD[c] + 0.13104 prot_pool[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]
r_0512	glycyl-tRNA synthetase	0.00553402079566315	YBR121C or YPR081C	ATP[c] + L-glycine[c] + tRNA(Gly)[c] + 1.2407 prot_pool[c] => AMP[c] + diphosphate[c] + Gly-tRNA(Gly)[c]
r_0916	phosphoribosylpyrophosphate synthetase	0.00548454875157388	(YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL061W)	ATP[c] + ribose-5-phosphate[c] + 5.2395 prot_pool[c] => AMP[c] + H+[c] + PRPP[c]
r_1838	homocitrate synthase	0.00545398308538957	YDL131W or YDL182W	2-oxoglutarate[m] + acetyl-CoA[m] + H2O[m] + 12.6868 prot_pool[c] => coenzyme A[m] + H+[m] + homocitrate[m]
r_0027	2-methylcitrate dehydratase	0.00545398308538957	YDR234W	homocitrate[m] + 14.7876 prot_pool[c] => but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]
r_0542	homoacontinate hydratase	0.00545398308538957	YJL200C or YDR234W	but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m] + 4.018 prot_pool[c] => homoisocitrate[m]
r_0545	homoisocitrate dehydrogenase	0.00545398308538957	YIL094C	homoisocitrate[m] + NAD[m] + 2.0568 prot_pool[c] => 2-oxoadipic acid[m] + carbon dioxide[m] + NADH[m]
r_0678	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	0.00545398308538956	YBR115C and YGL154C	ATP[c] + H+[c] + L-2-aminoadipate[c] + NADPH[c] + 2.8783 prot_pool[c] => AMP[c] + diphosphate[c] + L-allysine[c] + NADP(+)[c]
