gene_IDs	gene_names	slope	action	essentiality
YAL060W	BDH1	1	OE	nonessential
YLR044C	PDC1	1	OE	nonessential
YPR138C	MEP3	0.108214212869493	KD	nonessential
YPL134C	ODC1	0.0535379711245798	KD	nonessential
YOL126C	MDH2	0.0369493609912099	KD	nonessential
YNR001C	CIT1	0.0293684028722028	KD	nonessential
YKL085W	MDH1	0.0270642366092383	KD	nonessential
YHL012W	YHL012W	0.0250206805136657	KD	nonessential
YMR105C	PGM2	0.0250206805136657	KD	nonessential
YKL067W	YNK1	0.0220466844705933	KD	essential
YDL141W	BPL1	0.0200222296399889	KD	essential
YNR016C	ACC1	0.0200222296399889	KD	essential
YGL202W	ARO8	0.0171308407450127	KD	nonessential
YPR035W	GLN1	0.0156791834795895	KD	essential
YHR137W	ARO9	0.0145297804100264	KD	nonessential
YPR021C	AGC1	0.012789541901193	KD	nonessential
YMR306W	FKS3	0.0124996862503689	KD	nonessential
YPR165W	RHO1	0.0124996862503689	KD	essential
YDL055C	PSA1	0.0118722836474944	KD	essential
YDL093W	PMT5	0.0118722836474944	KD	nonessential
YER003C	PMI40	0.0118722836474944	KD	essential
YFL045C	SEC53	0.0118722836474944	KD	essential
YPR183W	DPM1	0.0118722836474944	KD	essential
YHR208W	BAT1	0.0108976466036683	KD	essential
YIL074C	SER33	0.00957650340849619	KD	nonessential
YOR335C	ALA1	0.00891237069379405	KD	essential
YLR058C	SHM2	0.00864670963529215	KD	nonessential
YJR016C	ILV3	0.00732206659029455	KD	essential
YLR355C	ILV5	0.00732206659029455	KD	essential
YMR108W	ILV2	0.00732206659029455	KD	essential
YFR015C	GSY1	0.00603541010619662	KD	nonessential
YKR058W	GLG1	0.00603541010619662	KD	nonessential
YGL245W	GUS1	0.00586258425838586	KD	essential
YJR148W	BAT2	0.00585521700953234	KD	essential
YLL018C	DPS1	0.00577905509604074	KD	essential
YNL104C	LEU4	0.00575768709000985	KD	nonessential
YCL018W	LEU2	0.00575768709000985	KD	essential
YGL009C	LEU1	0.00575768709000985	KD	essential
YPL160W	CDC60	0.00575768709000985	KD	essential
YPR081C	GRS2	0.00564113448772923	KD	nonessential
YER099C	PRS2	0.0055907048879178	KD	nonessential
YKL181W	PRS1	0.0055907048879178	KD	nonessential
YDL131W	LYS21	0.00555954760824062	KD	nonessential
YER152C	YER152C	0.00555954760824062	KD	nonessential
YJL200C	ACO2	0.00555954760824062	KD	nonessential
YOR222W	ODC2	0.00555954760824062	KD	nonessential
YBR115C	LYS2	0.00555954760824062	KD	essential
YDR234W	LYS4	0.00555954760824062	KD	essential
YGL154C	LYS5	0.00555954760824062	KD	essential
YIL094C	LYS12	0.00555954760824062	KD	essential
YDR037W	KRS1	0.00555954760824062	KD	essential
YIR034C	LYS1	0.00555954760824062	KD	essential
YNR050C	LYS9	0.00555954760824062	KD	essential
YPL262W	FUM1	0.00524716472792151	KD	nonessential
YGL148W	ARO2	0.00523785439576341	KD	essential
YDR127W	ARO1	0.00523785439576341	KD	essential
YGR204W	ADE3	0.00523295021587987	KD	essential
YGR094W	VAS1	0.00513995951365848	KD	essential
YJL130C	URA2	0.00493568859462759	KD	essential
YOL064C	MET22	0.00485161325238836	KD	nonessential
YPR060C	ARO7	0.0045824505213039	KD	essential
YPR192W	AQY1	0.00419727078102767	KD	nonessential
YPR159W	KRE6	0.00417637053385166	KD	nonessential
YBL076C	ILS1	0.00374327346375683	KD	essential
YNL065W	AQR1	0.00374327346375683	KD	nonessential
YPL028W	ERG10	0.00374188314936322	KD	essential
YML126C	ERG13	0.00374188314936322	KD	essential
YMR208W	ERG12	0.00374188314936322	KD	essential
YML075C	HMG1	0.00374188314936322	KD	nonessential
YMR220W	ERG8	0.00374188314936322	KD	essential
YNR043W	MVD1	0.00374188314936322	KD	essential
