gene_IDs	gene_names	slope	action	essentiality
Q0045	COX1	23.4871945891049	KD	nonessential
Q0250	COX2	23.4871945891049	KD	nonessential
Q0275	COX3	23.4871945891049	KD	nonessential
YDL067C	COX9	23.4871945891049	KD	nonessential
YDR231C	COX20	23.4871945891049	KD	nonessential
YGL187C	COX4	23.4871945891049	KD	nonessential
YGL191W	COX13	23.4871945891049	KD	nonessential
YGR062C	COX18	23.4871945891049	KD	nonessential
YHR051W	COX6	23.4871945891049	KD	nonessential
YHR116W	COX23	23.4871945891049	KD	nonessential
YIL111W	COX5B	23.4871945891049	KD	nonessential
YJL003W	COX16	23.4871945891049	KD	nonessential
YLL018C-A	COX19	23.4871945891049	KD	nonessential
YLR038C	COX12	23.4871945891049	KD	nonessential
YLR395C	COX8	23.4871945891049	KD	nonessential
YMR256C	COX7	23.4871945891049	KD	nonessential
YNL052W	COX5A	23.4871945891049	KD	nonessential
YPL132W	COX11	23.4871945891049	KD	nonessential
Q0080	ATP8	20.3703946114472	KD	nonessential
Q0085	ATP6	20.3703946114472	KD	nonessential
Q0130	OLI1	20.3703946114472	KD	nonessential
YBL099W	ATP1	20.3703946114472	KD	nonessential
YBR039W	ATP3	20.3703946114472	KD	nonessential
YDL004W	ATP16	20.3703946114472	KD	nonessential
YDR298C	ATP5	20.3703946114472	KD	nonessential
YDR322C-A	TIM11	20.3703946114472	KD	nonessential
YDR377W	ATP17	20.3703946114472	KD	nonessential
YJR121W	ATP2	20.3703946114472	KD	nonessential
YKL016C	ATP7	20.3703946114472	KD	nonessential
YLR295C	ATP14	20.3703946114472	KD	nonessential
YML081C-A	ATP18	20.3703946114472	KD	nonessential
YOL077W-A	ATP19	20.3703946114472	KD	nonessential
YPL078C	ATP4	20.3703946114472	KD	nonessential
YPL271W	ATP15	20.3703946114472	KD	nonessential
YPR020W	ATP20	20.3703946114472	KD	nonessential
YLL052C	AQY2	18.7881118011894	KD	nonessential
YPR192W	AQY1	18.7881118011894	KD	nonessential
YEL039C	CYC7	11.7117016129784	KD	nonessential
YJR048W	CYC1	11.7117016129784	KD	nonessential
Q0105	COB	10.7453698897941	KD	nonessential
YBL045C	COR1	10.7453698897941	KD	nonessential
YDR529C	QCR7	10.7453698897941	KD	nonessential
YEL024W	RIP1	10.7453698897941	KD	nonessential
YFR033C	QCR6	10.7453698897941	KD	nonessential
YGR183C	QCR9	10.7453698897941	KD	nonessential
YHR001W-A	QCR10	10.7453698897941	KD	nonessential
YJL166W	QCR8	10.7453698897941	KD	nonessential
YOR065W	CYT1	10.7453698897941	KD	nonessential
YPR191W	QCR2	10.7453698897941	KD	nonessential
YDL085W	NDE2	10.6446525602872	KD	nonessential
YMR145C	NDE1	10.6446525602872	KD	nonessential
YMR267W	PPA2	8.70050116695734	KD	nonessential
