rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0770	NADH dehydrogenase, cytosolic/mitochondrial	10.6446525602872	YDL085W or YMR145C	H+[c] + NADH[c] + ubiquinone-6[m] + 0.034255 prot_pool[c] => NAD[c] + ubiquinol-6[m]
r_0569	inorganic diphosphatase	8.70050116695734	YMR267W	diphosphate[m] + H2O[m] + 0.0019435 prot_pool[c] => H+[m] + 2 phosphate[m]
r_0148	adenylate kinase	6.35323896184101	YDL166C or YDR226W	AMP[c] + ATP[c] + 0.0010134 prot_pool[c] => 2 ADP[c]
r_0165	mitochondrial alcohol dehydrogenase	5.25939619762863	YGL256W or YMR083W	acetaldehyde[m] + H+[m] + NADH[m] + 0.0037386 prot_pool[c] => ethanol[m] + NAD[m]
r_0471	glutamate dehydrogenase (NADP)	4.67223860159041	YAL062W or YOR375C	2-oxoglutarate[c] + ammonium[c] + H+[c] + NADPH[c] + 0.00077305 prot_pool[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]
r_1667	bicarbonate formation	4.10275203865852	YNL036W	carbon dioxide[c] + H2O[c] + 1.0824e-05 prot_pool[c] => bicarbonate[c] + H+[c]
r_0091	6-phosphogluconolactonase	3.19843418935443	YGR248W or YHR163W	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.77178 prot_pool[c] => 6-phospho-D-gluconate[c] + H+[c]
r_0466	glucose 6-phosphate dehydrogenase	3.19843418935443	YNL241C	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.02525 prot_pool[c] => 6-O-phosphono-D-glucono-1,5-lactone[c] + H+[c] + NADPH[c]
r_0889	phosphogluconate dehydrogenase	3.19843418935443	YGR256W or YHR183W	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.4086 prot_pool[c] => carbon dioxide[c] + D-ribulose 5-phosphate[c] + NADPH[c]
r_0958	pyruvate carboxylase	2.85902836406149	YBR218C or YGL062W	ATP[c] + bicarbonate[c] + pyruvate[c] + 0.60231 prot_pool[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]
