gene_IDs	gene_names	slope	action	essentiality
Q0045	COX1	23.8001267475069	KD	nonessential
Q0250	COX2	23.8001267475069	KD	nonessential
Q0275	COX3	23.8001267475069	KD	nonessential
YDL067C	COX9	23.8001267475069	KD	nonessential
YEL039C	CYC7	23.8001267475069	KD	nonessential
YGL187C	COX4	23.8001267475069	KD	nonessential
YGL191W	COX13	23.8001267475069	KD	nonessential
YHR051W	COX6	23.8001267475069	KD	nonessential
YLR038C	COX12	23.8001267475069	KD	nonessential
YLR395C	COX8	23.8001267475069	KD	nonessential
YMR256C	COX7	23.8001267475069	KD	nonessential
YNL052W	COX5A	23.8001267475069	KD	nonessential
Q0080	ATP8	20.6247351388949	KD	nonessential
Q0085	ATP6	20.6247351388949	KD	nonessential
Q0130	OLI1	20.6247351388949	KD	nonessential
YBL099W	ATP1	20.6247351388949	KD	nonessential
YBR039W	ATP3	20.6247351388949	KD	nonessential
YDL004W	ATP16	20.6247351388949	KD	nonessential
YDR298C	ATP5	20.6247351388949	KD	nonessential
YDR322C-A	TIM11	20.6247351388949	KD	nonessential
YDR377W	ATP17	20.6247351388949	KD	nonessential
YJR121W	ATP2	20.6247351388949	KD	nonessential
YKL016C	ATP7	20.6247351388949	KD	nonessential
YLR295C	ATP14	20.6247351388949	KD	nonessential
YML081C-A	ATP18	20.6247351388949	KD	nonessential
YOL077W-A	ATP19	20.6247351388949	KD	nonessential
YPL078C	ATP4	20.6247351388949	KD	nonessential
YPL271W	ATP15	20.6247351388949	KD	nonessential
YPR020W	ATP20	20.6247351388949	KD	nonessential
YLL052C	AQY2	19.6401571573428	KD	nonessential
YPR192W	AQY1	19.6401571573428	KD	nonessential
Q0105	COB	11.327380240913	KD	nonessential
YBL045C	COR1	11.327380240913	KD	nonessential
YDR529C	QCR7	11.327380240913	KD	nonessential
YEL024W	RIP1	11.327380240913	KD	nonessential
YFR033C	QCR6	11.327380240913	KD	nonessential
YGR183C	QCR9	11.327380240913	KD	nonessential
YHR001W-A	QCR10	11.327380240913	KD	nonessential
YJL166W	QCR8	11.327380240913	KD	nonessential
YJR048W	CYC1	11.327380240913	KD	nonessential
YOR065W	CYT1	11.327380240913	KD	nonessential
YPR191W	QCR2	11.327380240913	KD	nonessential
YDL085W	NDE2	11.2087258028447	KD	nonessential
YDR226W	ADK1	6.43112305818767	KD	nonessential
YPR138C	MEP3	5.45836630070283	KD	nonessential
YMR083W	ADH3	5.30754041968661	KD	nonessential
YOR375C	GDH1	4.72953784359892	KD	nonessential
YNL036W	NCE103	4.15307982711683	KD	nonessential
YHR183W	GND1	3.24372946321511	KD	nonessential
YNL241C	ZWF1	3.24372946321511	KD	nonessential
YHR163W	SOL3	3.24372946321511	KD	nonessential
YGL062W	PYC1	2.89419554887372	KD	nonessential
YJL198W	PHO90	2.7775970465579	KD	nonessential
YBR221C	PDB1	2.23657276376165	KD	nonessential
YER178W	PDA1	2.23657276376165	KD	nonessential
YFL018C	LPD1	2.23657276376165	KD	nonessential
YGR193C	PDX1	2.23657276376165	KD	nonessential
YNL071W	LAT1	2.23657276376165	KD	nonessential
YJL121C	RPE1	2.2185101889153	KD	nonessential
YPL134C	ODC1	2.09705370004963	KD	nonessential
YOL126C	MDH2	1.8323852641955	KD	nonessential
YLR153C	ACS2	1.51634062009146	KD	nonessential
YPL061W	ALD6	1.46003388062939	KD	nonessential
YNR001C	CIT1	1.38992279549151	KD	nonessential
YKL085W	MDH1	1.3899227954915	KD	nonessential
YNL037C	IDH1	1.30292685347762	KD	nonessential
YOR136W	IDH2	1.30292685347762	KD	nonessential
YHL012W	YHL012W	1.26205002490592	KD	nonessential
YMR105C	PGM2	1.26205002490592	KD	nonessential
YKL067W	YNK1	1.11204084437305	KD	essential
YOR095C	RKI1	1.02351327109823	KD	essential
YDL141W	BPL1	1.00992678444612	KD	essential
YNR016C	ACC1	1.00992678444612	KD	essential
YDL168W	SFA1	1	OE	nonessential
YDR380W	ARO10	1	OE	nonessential
YNL316C	PHA2	0.868801799425143	OE	essential
YPR021C	AGC1	0.864595157277319	KD	nonessential
YGL202W	ARO8	0.864084331243318	KD	nonessential
YJL200C	ACO2	0.835173954986422	KD	nonessential
YKL029C	MAE1	0.80911560264228	KD	nonessential
YPR035W	GLN1	0.79086233846078	KD	essential
YPR060C	ARO7	0.768859932031703	OE	essential
YDR127W	ARO1	0.73580117986737	OE	essential
YDR035W	ARO3	0.73580117986737	OE	nonessential
YGL148W	ARO2	0.73580117986737	OE	essential
YHR137W	ARO9	0.73288613066846	KD	nonessential
YMR306W	FKS3	0.630487621428932	KD	nonessential
YPR165W	RHO1	0.630487621428932	KD	essential
YDL055C	PSA1	0.598841261125047	KD	essential
YDL093W	PMT5	0.598841261125047	KD	nonessential
YER003C	PMI40	0.598841261125047	KD	essential
YPR183W	DPM1	0.598841261125047	KD	essential
YFL045C	SEC53	0.598841261125047	KD	essential
YER081W	SER3	0.563846519052301	KD	nonessential
YOR184W	SER1	0.563846519052301	KD	nonessential
YGR208W	SER2	0.5638465190523	KD	nonessential
YJR016C	ILV3	0.549842370178946	KD	essential
YLR355C	ILV5	0.549842370178946	KD	essential
YMR108W	ILV2	0.549842370178946	KD	essential
YHR208W	BAT1	0.549680299864896	KD	essential
YOR335C	ALA1	0.449542435503713	KD	essential
YLR058C	SHM2	0.411888848313521	KD	nonessential
YIL074C	SER33	0.391618134336639	KD	nonessential
YFR015C	GSY1	0.304427750103866	KD	nonessential
YKR058W	GLG1	0.304427750103866	KD	nonessential
YGL245W	GUS1	0.295710366681188	KD	essential
YLL018C	DPS1	0.291497132698185	KD	essential
YNL104C	LEU4	0.290419324581466	KD	nonessential
YCL018W	LEU2	0.290419324581465	KD	essential
YGL009C	LEU1	0.290419324581465	KD	essential
YJR148W	BAT2	0.290419324581465	KD	essential
YPL160W	CDC60	0.290419324581465	KD	essential
YPR081C	GRS2	0.284540379181448	KD	nonessential
YER099C	PRS2	0.281996696260216	KD	nonessential
YKL181W	PRS1	0.281996696260216	KD	nonessential
YDL131W	LYS21	0.280425114481339	KD	nonessential
YDR234W	LYS4	0.280425114481339	KD	essential
YER152C	YER152C	0.280425114481339	KD	nonessential
YIL094C	LYS12	0.280425114481339	KD	essential
YOR222W	ODC2	0.280425114481339	KD	nonessential
YBR115C	LYS2	0.280425114481339	KD	essential
YDR037W	KRS1	0.280425114481339	KD	essential
YGL154C	LYS5	0.280425114481339	KD	essential
YIR034C	LYS1	0.280425114481339	KD	essential
YNR050C	LYS9	0.280425114481339	KD	essential
YPL262W	FUM1	0.264668435854127	KD	nonessential
YGR094W	VAS1	0.259260975283431	KD	essential
YJL130C	URA2	0.248957493796999	KD	essential
YOL064C	MET22	0.244716710349521	KD	nonessential
