gene_IDs	gene_names	slope	action	essentiality
Q0045	COX1	23.8005132679971	KD	nonessential
Q0250	COX2	23.8005132679971	KD	nonessential
Q0275	COX3	23.8005132679971	KD	nonessential
YDL067C	COX9	23.8005132679971	KD	nonessential
YEL039C	CYC7	23.8005132679971	KD	nonessential
YGL187C	COX4	23.8005132679971	KD	nonessential
YGL191W	COX13	23.8005132679971	KD	nonessential
YHR051W	COX6	23.8005132679971	KD	nonessential
YLR038C	COX12	23.8005132679971	KD	nonessential
YLR395C	COX8	23.8005132679971	KD	nonessential
YMR256C	COX7	23.8005132679971	KD	nonessential
YNL052W	COX5A	23.8005132679971	KD	nonessential
Q0080	ATP8	20.624728033091	KD	nonessential
Q0085	ATP6	20.624728033091	KD	nonessential
Q0130	OLI1	20.624728033091	KD	nonessential
YBL099W	ATP1	20.624728033091	KD	nonessential
YBR039W	ATP3	20.624728033091	KD	nonessential
YDL004W	ATP16	20.624728033091	KD	nonessential
YDR298C	ATP5	20.624728033091	KD	nonessential
YDR322C-A	TIM11	20.624728033091	KD	nonessential
YDR377W	ATP17	20.624728033091	KD	nonessential
YJR121W	ATP2	20.624728033091	KD	nonessential
YKL016C	ATP7	20.624728033091	KD	nonessential
YLR295C	ATP14	20.624728033091	KD	nonessential
YML081C-A	ATP18	20.624728033091	KD	nonessential
YOL077W-A	ATP19	20.624728033091	KD	nonessential
YPL078C	ATP4	20.624728033091	KD	nonessential
YPL271W	ATP15	20.624728033091	KD	nonessential
YPR020W	ATP20	20.624728033091	KD	nonessential
YLL052C	AQY2	19.6404390835722	KD	nonessential
YPR192W	AQY1	19.6404390835722	KD	nonessential
Q0105	COB	11.3273913794092	KD	nonessential
YBL045C	COR1	11.3273913794092	KD	nonessential
YDR529C	QCR7	11.3273913794092	KD	nonessential
YEL024W	RIP1	11.3273913794092	KD	nonessential
YFR033C	QCR6	11.3273913794092	KD	nonessential
YGR183C	QCR9	11.3273913794092	KD	nonessential
YHR001W-A	QCR10	11.3273913794092	KD	nonessential
YJL166W	QCR8	11.3273913794092	KD	nonessential
YJR048W	CYC1	11.3273913794092	KD	nonessential
YOR065W	CYT1	11.3273913794092	KD	nonessential
YPR191W	QCR2	11.3273913794092	KD	nonessential
YDL085W	NDE2	11.2087369416625	KD	nonessential
YDR226W	ADK1	6.43113036111404	KD	nonessential
YPR138C	MEP3	5.45842364556449	KD	nonessential
YMR083W	ADH3	5.30760899951685	KD	nonessential
YOR375C	GDH1	4.72958362062999	KD	nonessential
YNL036W	NCE103	4.15302462685522	KD	nonessential
YHR183W	GND1	3.2437512303913	KD	nonessential
YHR163W	SOL3	3.24375123039129	KD	nonessential
YNL241C	ZWF1	3.24375123039129	KD	nonessential
YGL062W	PYC1	2.89415708095158	KD	nonessential
YJL198W	PHO90	2.77764954686342	KD	nonessential
YBR221C	PDB1	2.23667562945057	KD	nonessential
YER178W	PDA1	2.23667562945057	KD	nonessential
YFL018C	LPD1	2.23667562945057	KD	nonessential
YGR193C	PDX1	2.23667562945057	KD	nonessential
YNL071W	LAT1	2.23667562945057	KD	nonessential
YJL121C	RPE1	2.21850364444318	KD	nonessential
YPL134C	ODC1	2.09702852592967	KD	nonessential
YOL126C	MDH2	1.83245638947145	KD	nonessential
