rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0770_EXP_1	NADH dehydrogenase, cytosolic/mitochondrial	11.2087369416625	YDL085W	H+[c] + NADH[c] + ubiquinone-6[m] + 0.034255 prot_pool[c] => NAD[c] + ubiquinol-6[m]
r_0148_EXP_2	adenylate kinase	6.43113036111404	YDR226W	AMP[c] + ATP[c] + 0.0010134 prot_pool[c] => 2 ADP[c]
r_0165_EXP_2	mitochondrial alcohol dehydrogenase	5.30760899951685	YMR083W	acetaldehyde[m] + H+[m] + NADH[m] + 0.0037386 prot_pool[c] => ethanol[m] + NAD[m]
r_0471_EXP_2	glutamate dehydrogenase (NADP)	4.72958362062999	YOR375C	2-oxoglutarate[c] + ammonium[c] + H+[c] + NADPH[c] + 0.00077305 prot_pool[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]
r_1667	bicarbonate formation	4.15302462685522	YNL036W	carbon dioxide[c] + H2O[c] + 1.0824e-05 prot_pool[c] => bicarbonate[c] + H+[c]
r_0889_EXP_2	phosphogluconate dehydrogenase	3.2437512303913	YHR183W	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.4086 prot_pool[c] => carbon dioxide[c] + D-ribulose 5-phosphate[c] + NADPH[c]
r_0091_EXP_2	6-phosphogluconolactonase	3.24375123039129	YHR163W	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.77178 prot_pool[c] => 6-phospho-D-gluconate[c] + H+[c]
r_0466	glucose 6-phosphate dehydrogenase	3.24375123039129	YNL241C	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.02525 prot_pool[c] => 6-O-phosphono-D-glucono-1,5-lactone[c] + H+[c] + NADPH[c]
r_0958_EXP_2	pyruvate carboxylase	2.89415708095158	YGL062W	ATP[c] + bicarbonate[c] + pyruvate[c] + 0.60231 prot_pool[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]
r_0961	pyruvate dehydrogenase	2.23667562945057	YBR221C and YER178W and YFL018C and YGR193C and YNL071W	coenzyme A[m] + NAD[m] + pyruvate[m] + 0.34768 prot_pool[c] => acetyl-CoA[m] + carbon dioxide[m] + NADH[m]
r_0984	ribulose 5-phosphate 3-epimerase	2.21850364444318	YJL121C	D-ribulose 5-phosphate[c] + 0.063551 prot_pool[c] => D-xylulose 5-phosphate[c]
r_0714_REV	malate dehydrogenase, cytoplasmic (reversible)	1.83245638947145	YOL126C	H+[c] + NADH[c] + oxaloacetate[c] + 1.1913e-05 prot_pool[c] => (S)-malate[c] + NAD[c]
r_0112_EXP_2	acetyl-CoA synthetase	1.51633902211191	YLR153C	acetate[c] + ATP[c] + coenzyme A[c] + 0.33606 prot_pool[c] => acetyl-CoA[c] + AMP[c] + diphosphate[c]
r_0811	nucleoside-diphosphate kinase (ATP:UDP)	1.5129436139647	YKL067W	ATP[c] + UDP[c] + 0.0015988 prot_pool[c] => ADP[c] + UTP[c]
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	1.4600144747293	YPL061W	acetaldehyde[c] + H2O[c] + NADP(+)[c] + 0.68705 prot_pool[c] => acetate[c] + 2 H+[c] + NADPH[c]
r_0300_EXP_1	citrate synthase	1.38990702013405	YNR001C	acetyl-CoA[m] + H2O[m] + oxaloacetate[m] + 0.1049 prot_pool[c] => citrate[m] + coenzyme A[m] + H+[m]
r_4262	citrate hydroxymutase	1.38990702013405	YJL200C	citrate[m] + 0.27774 prot_pool[c] => isocitrate[m]
r_0713	malate dehydrogenase	1.38990702013405	YKL085W	(S)-malate[m] + NAD[m] + 0.05201 prot_pool[c] => H+[m] + NADH[m] + oxaloacetate[m]
r_0658	isocitrate dehydrogenase (NAD+)	1.30289503362203	YNL037C and YOR136W	isocitrate[m] + NAD[m] + 0.12673 prot_pool[c] => 2-oxoglutarate[m] + carbon dioxide[m] + NADH[m]
r_0888_EXP_1	phosphoglucomutase	1.26203325048924	YMR105C	D-glucose 6-phosphate[c] + 0.08151 prot_pool[c] => D-glucose 1-phosphate[c]
r_1084_EXP_1	UTP-glucose-1-phosphate uridylyltransferase	1.26203325048924	YHL012W	D-glucose 1-phosphate[c] + H+[c] + UTP[c] + 0.42411 prot_pool[c] => diphosphate[c] + UDP-D-glucose[c]
r_0982	ribose-5-phosphate isomerase	1.02354160542171	YOR095C	D-ribulose 5-phosphate[c] + 0.81765 prot_pool[c] => ribose-5-phosphate[c]
r_0109	acetyl-CoA carboxylase, reaction	1.00991336110126	YDL141W and YNR016C	acetyl-CoA[c] + ATP[c] + bicarbonate[c] + 4.4884 prot_pool[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]
r_0169_EXP_2	aldehyde dehydrogenase (2-phenylethanol, NAD)	1	YDL168W	H+[c] + NADH[c] + phenylacetaldehyde[c] + 0.0024607 prot_pool[c] => 2-phenylethanol[c] + NAD[c]
