pairID,enzymeID,rxnID,rxnName,kcat,kcatMin,kcatMax,newKcat,foldChange,logFold
668,Q00055,r_0491_EXP_1,"glycerol-3-phosphate dehydrogenase (NAD)",113,NaN,NaN,204.542235459166,1.81010827839969,0.593386665808724
982,Q03941,r_1736,"dephospho-CoA kinase",0.282382434505082,NaN,NaN,0.277975679213577,0.984394371770226,-0.0157286779031314
1500,P40106,r_0489_EXP_1,"glycerol-3-phosphatase",11.16,NaN,NaN,24.7999999999993,2.22222222222216,0.798507696217743
1502,P28240,r_0662,"isocitrate lyase",13.2,NaN,NaN,55.3293572436027,4.1916179730002,1.43308681047094
1564,P43567,r_0156,"alanine glyoxylate aminotransferase",201.197542033853,NaN,NaN,73.3295479931997,0.364465426624653,-1.00932358354198
1944,P53332,r_0841,"pantetheine-phosphate adenylyltransferase",0.57186559581944,NaN,NaN,0.60837324193626,1.06383955667854,0.0618845869537452
1950,P53048,r_2079,"trehalose transporter",81.1112326767887,NaN,NaN,128.273120457251,1.5814470600933,0.458340288712798
1976,P38702,r_3680_REV,"coenzyme A transport, mitochondrial membrane-cytoplasm (reversible)",33.2960412002964,NaN,NaN,332.960412002964,10,2.30258509299405
2104,P38891,r_0664_REV,"isoleucine transaminase (reversible)",1304.79678615742,NaN,NaN,1649.2126406308,1.26396129889903,0.234250677296295
2689,P32332,r_1574_REV,"2-isopropylmalate transport (reversible)",62.5124734798424,NaN,NaN,625.124734798424,10,2.30258509299405
3047,P23900,r_2105_EXP_2,"xylitol transport",8.98155413634415,NaN,NaN,89.8155413634415,10,2.30258509299405
3143,P52910,r_0112_EXP_2,"acetyl-CoA synthetase",62.4,NaN,NaN,45.8618936687946,0.734966244692222,-0.307930706412727
3152,P41939,r_0659,"isocitrate dehydrogenase (NADP)",4.05437492591446,NaN,NaN,40.5437492591446,10,2.30258509299405
3748,P06208,r_0025,"2-isopropylmalate synthase",1.52521014341098,NaN,NaN,1.64836462678733,1.0807459115771,0.0776514616087351
3919,P40345,r_2888,"PE (1-16:0, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",0.00984609829051359,NaN,NaN,0.000984609829051359,0.1,-2.30258509299405
3935,P40345,r_2896,"PE (1-16:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",0.00740536734476043,NaN,NaN,0.000740536734476043,0.1,-2.30258509299405
3938,P40345,r_2897_REV,"PE (1-16:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.00250728636502255,NaN,NaN,0.000250728636502255,0.1,-2.30258509299405
3943,P40345,r_2900,"PE (1-16:0, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",0.000255756730846741,NaN,NaN,0.00255756730845354,9.99999999994577,2.30258509298862
3954,P40345,r_2905_REV,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane (reversible)",0.00790189551627665,NaN,NaN,0.000790189551627665,0.1,-2.30258509299405
3955,P40345,r_2906,"PE (1-18:0, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",0.00570212691603035,NaN,NaN,0.000570212691603035,0.1,-2.30258509299405
3961,P40345,r_2909,"PE (1-16:1, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",0.00235587877069538,NaN,NaN,0.000235587877069538,0.1,-2.30258509299405
3964,P40345,r_2910_REV,"PE (1-18:0, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",2.64052740323458e-05,NaN,NaN,0.000264052740323257,9.9999999999924,2.30258509299329
3971,P40345,r_2914,"PE (1-18:0, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",0.00477162377302309,NaN,NaN,0.000477162377302309,0.1,-2.30258509299405
3979,P40345,r_2918,"PE (1-18:0, 2-16:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane",0.00280201399674764,NaN,NaN,0.000280201399674764,0.1,-2.30258509299405
3985,P40345,r_2921,"PE (1-16:1, 2-18:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane",0.00317188862641616,NaN,NaN,0.000317188862641616,0.1,-2.30258509299405
3992,P40345,r_2924_REV,"PE (1-16:0, 2-16:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00288989909807207,NaN,NaN,0.000288989909807207,0.1,-2.30258509299405
3997,P40345,r_2927,"PE (1-18:1, 2-16:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane",0.00279361206597058,NaN,NaN,0.000279361206597058,0.1,-2.30258509299405
4004,P40345,r_2930_REV,"PE (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",4.55953202428643e-05,NaN,NaN,0.000318137304585237,6.9774113415735,1.94267798001633
4006,P40345,r_2931_REV,"PE (1-18:1, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00484401059240821,NaN,NaN,0.000484401059240821,0.1,-2.30258509299405
4007,P40345,r_2932,"PE (1-16:0, 2-16:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane",0.00031839515662975,NaN,NaN,0.00318395156628024,9.9999999999458,2.30258509298863
4009,P40345,r_2933,"PE (1-16:1, 2-16:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane",0.00013347874678558,NaN,NaN,0.0013347874678558,10.0000000000001,2.30258509299405
4015,P40345,r_2936,"PE (1-16:0, 2-18:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane",0.00662003036204101,NaN,NaN,0.000662003036204101,0.1,-2.30258509299405
4017,P40345,r_2937,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane",0.000348193123303753,NaN,NaN,0.00348193123301866,9.99999999994579,2.30258509298863
4026,P40345,r_2941_REV,"PE (1-16:1, 2-16:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00231730428785803,NaN,NaN,0.000231730428785803,0.1,-2.30258509299405
4027,P40345,r_2942,"PE (1-18:0, 2-16:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.00248130632397754,NaN,NaN,0.000248130632397754,0.1,-2.30258509299405
4033,P40345,r_2945,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.00407797061136098,NaN,NaN,0.000407797061136098,0.1,-2.30258509299405
