gene_IDs	gene_names	slope	action	essentiality
YGR087C	PDC6	1.09209071961828	KD	nonessential
YLR044C	PDC1	1.09209071961828	KD	nonessential
YLR134W	PDC5	1.09209071961828	KD	nonessential
YER062C	GPP2	1	OE	nonessential
YFL054C	AQY3	1	OE	nonessential
YIL053W	GPP1	1	OE	nonessential
YLL043W	FPS1	1	OE	nonessential
YCR012W	PGK1	0.892611778827584	KD	nonessential
YGR192C	TDH3	0.892611778827584	KD	nonessential
YJL052W	TDH1	0.892611778827584	KD	nonessential
YJR009C	TDH2	0.892611778827584	KD	nonessential
YGR254W	ENO1	0.885473807706475	KD	nonessential
YHR174W	ENO2	0.885473807706475	KD	nonessential
YKL152C	GPM1	0.885473807706475	KD	nonessential
YMR323W	ERR3	0.885473807706475	KD	nonessential
YOR283W	YOR283W	0.885473807706475	KD	nonessential
YOR393W	ERR1	0.885473807706475	KD	nonessential
YPL281C	ERR2	0.885473807706475	KD	nonessential
YAL038W	CDC19	0.878150434032742	KD	nonessential
YOR347C	PYK2	0.878150434032742	KD	nonessential
YLL052C	AQY2	0.506922277938501	KD	nonessential
YPR192W	AQY1	0.506922277938501	KD	nonessential
YMR267W	PPA2	0.123043754858775	KD	nonessential
YDL166C	FAP7	0.0926022085205204	KD	nonessential
YDR226W	ADK1	0.0926022085205204	KD	nonessential
YDR384C	ATO3	0.0756504301276434	KD	nonessential
YGR121C	MEP1	0.0756504301276434	KD	nonessential
YNL142W	MEP2	0.0756504301276434	KD	nonessential
YPR138C	MEP3	0.0756504301276434	KD	nonessential
YBR196C	PGI1	0.0707870069283345	OE	nonessential
YAL062W	GDH3	0.0665138259582556	KD	nonessential
YOR375C	GDH1	0.0665138259582556	KD	nonessential
YNL036W	NCE103	0.0635466079608835	KD	nonessential
YGR248W	SOL4	0.0515787179908119	KD	nonessential
YHR163W	SOL3	0.0515787179908119	KD	nonessential
YNL241C	ZWF1	0.0515787179908119	KD	nonessential
YGR256W	GND2	0.0515787179908119	KD	nonessential
YHR183W	GND1	0.0515787179908119	KD	nonessential
YBR218C	PYC2	0.0460989903353902	KD	nonessential
YGL062W	PYC1	0.0460989903353902	KD	nonessential
YGR240C	PFK1	0.0415137551815925	OE	nonessential
YMR205C	PFK2	0.0415137551815925	OE	nonessential
YKL060C	FBA1	0.0415137551815924	OE	nonessential
YOL126C	MDH2	0.0310936733334777	KD	nonessential
YJL121C	RPE1	0.0305424171819131	KD	nonessential
YAL054C	ACS1	0.0230990073106164	KD	nonessential
YLR153C	ACS2	0.0230990073106164	KD	nonessential
YPL061W	ALD6	0.0223186190915788	KD	nonessential
YOR095C	RKI1	0.0210126563071416	KD	essential
YOR222W	ODC2	0.0180484946092542	KD	nonessential
YPL134C	ODC1	0.0180484946092542	KD	nonessential
YHL012W	YHL012W	0.0174914935704283	KD	nonessential
YKL035W	UGP1	0.0174914935704283	KD	nonessential
YKL127W	PGM1	0.0174914935704283	KD	nonessential
YMR105C	PGM2	0.0174914935704283	KD	nonessential
YKL029C	MAE1	0.0157034215924789	KD	nonessential
YKL067W	YNK1	0.0154124281094602	KD	essential
