gene_IDs	gene_names	slope	action	essentiality
YLR044C	PDC1	1.08859573732002	KD	nonessential
YLL043W	FPS1	1	OE	nonessential
YER062C	GPP2	1	OE	nonessential
YCR012W	PGK1	0.89875298326401	KD	nonessential
YJL052W	TDH1	0.89875298326401	KD	nonessential
YKL152C	GPM1	0.891465941369434	KD	nonessential
YGR254W	ENO1	0.891465941369434	KD	nonessential
YAL038W	CDC19	0.884002868961601	KD	nonessential
YLL052C	AQY2	0.523976810694979	KD	nonessential
YPR192W	AQY1	0.523976810694979	KD	nonessential
YMR267W	PPA2	0.114551216047154	KD	nonessential
YDR226W	ADK1	0.0943024805914116	KD	nonessential
YPR138C	MEP3	0.077093522988689	KD	nonessential
YBR196C	PGI1	0.0730962157130556	OE	nonessential
YOR375C	GDH1	0.0677697439231212	KD	nonessential
YNL036W	NCE103	0.0646446067978632	KD	nonessential
YHR163W	SOL3	0.053521542923509	KD	nonessential
YHR183W	GND1	0.053521542923509	KD	nonessential
YNL241C	ZWF1	0.053521542923509	KD	nonessential
YGL062W	PYC1	0.0468641630455153	KD	nonessential
YGR240C	PFK1	0.0427851078726725	OE	nonessential
YMR205C	PFK2	0.0427851078726725	OE	nonessential
YKL060C	FBA1	0.0427851078726725	OE	nonessential
YPL134C	ODC1	0.0346543949911685	KD	nonessential
YJL121C	RPE1	0.0317643182235162	KD	nonessential
YOL126C	MDH2	0.0315726085957655	KD	nonessential
YLR153C	ACS2	0.023499900215786	KD	nonessential
YPL061W	ALD6	0.0227046255180349	KD	nonessential
YOR095C	RKI1	0.0217331291619904	KD	essential
YHL012W	YHL012W	0.017825156663173	KD	nonessential
YMR105C	PGM2	0.017825156663173	KD	nonessential
YKL067W	YNK1	0.016383344541645	KD	essential
YKL029C	MAE1	0.0159145673633973	KD	nonessential
YPR074C	TKL1	0.0158821591117581	KD	nonessential
YLR027C	AAT2	0.0152915544497499	KD	essential
YPR021C	AGC1	0.0142946668653567	KD	nonessential
YGL202W	ARO8	0.0142731998332602	KD	nonessential
YDL141W	BPL1	0.0142641755840293	KD	essential
YNR016C	ACC1	0.0142641755840293	KD	essential
YHR137W	ARO9	0.0124201603871039	KD	nonessential
YPR035W	GLN1	0.0111701159255698	KD	essential
YHR208W	BAT1	0.00984681887347085	KD	essential
YMR306W	FKS3	0.00890498823689639	KD	nonessential
YPR165W	RHO1	0.00890498823689639	KD	essential
YDL055C	PSA1	0.00845801599403461	KD	essential
YDL093W	PMT5	0.00845801599403461	KD	nonessential
YER003C	PMI40	0.00845801599403461	KD	essential
YPR183W	DPM1	0.00845801599403461	KD	essential
YFL045C	SEC53	0.00845801599403461	KD	essential
YLR355C	ILV5	0.00776595712933065	KD	essential
YMR108W	ILV2	0.00776595712933065	KD	essential
YJR016C	ILV3	0.00776595712933065	KD	essential
YER081W	SER3	0.00728704189457648	KD	nonessential
YOR184W	SER1	0.00728704189457648	KD	nonessential
YGR208W	SER2	0.00728704189457648	KD	nonessential
YIL074C	SER33	0.00658864986112566	KD	nonessential
YOR335C	ALA1	0.00634932386312925	KD	essential
YNL104C	LEU4	0.00618502464196353	KO	nonessential
YLR058C	SHM2	0.00581666940531246	KD	nonessential
YDR035W	ARO3	0.00562660978312304	KO	nonessential
YJR148W	BAT2	0.00514344923176841	KD	essential
YOL064C	MET22	0.0048078113362568	KD	nonessential
YPR058W	YMC1	0.00457957699954816	KD	nonessential
YFR015C	GSY1	0.00429972840309813	KD	nonessential
YKR058W	GLG1	0.00429972840309813	KD	nonessential
YGL245W	GUS1	0.00417660434134489	KD	essential
YLL018C	DPS1	0.00411709675105645	KD	essential
YCL018W	LEU2	0.00410187382157329	KD	essential
YGL009C	LEU1	0.00410187382157329	KD	essential
YPL160W	CDC60	0.00410187382157328	KD	essential
YMR208W	ERG12	0.00401960702698069	KD	essential
YPR081C	GRS2	0.00401883977323803	KD	nonessential
YPL095C	EEB1	0.00401615543543261	KO	nonessential
YKL217W	JEN1	0.00401615543543261	KO	nonessential
YFL030W	AGX1	0.00401551682385521	KD	nonessential
YDR196C	CAB5	0.0040153963461648	KD	essential
YPL148C	PPT2	0.00401252218118195	KO	nonessential
YPR011C	YPR011C	0.00401252218118195	KO	nonessential
YER099C	PRS2	0.0039829128720241	KD	nonessential
YKL181W	PRS1	0.0039829128720241	KD	nonessential
YDL131W	LYS21	0.00396071589816	KD	nonessential
YDR234W	LYS4	0.00396071589816	KD	essential
YJL200C	ACO2	0.00396071589816	KD	nonessential
YOR222W	ODC2	0.00396071589816	KD	nonessential
YIL094C	LYS12	0.00396071589815999	KD	essential
YBR115C	LYS2	0.00396071589815999	KD	essential
YER152C	YER152C	0.00396071589815999	KD	nonessential
YGL154C	LYS5	0.00396071589815999	KD	essential
YIR034C	LYS1	0.00396071589815999	KD	essential
YNR050C	LYS9	0.00396071589815999	KD	essential
