gene_IDs	gene_names	slope	action	essentiality
YLR044C	PDC1	1.08859573732002	KD	nonessential
YER062C	GPP2	1	OE	nonessential
YLL043W	FPS1	1	OE	nonessential
YCR012W	PGK1	0.898752983264007	KD	nonessential
YJL052W	TDH1	0.898752983264007	KD	nonessential
YKL152C	GPM1	0.891465941369429	KD	nonessential
YGR254W	ENO1	0.891465941369428	KD	nonessential
YAL038W	CDC19	0.884002868961596	KD	nonessential
YLL052C	AQY2	0.523976810694963	KD	nonessential
YPR192W	AQY1	0.523976810694963	KD	nonessential
YMR267W	PPA2	0.114551216047162	KD	nonessential
YDR226W	ADK1	0.0943024805914105	KD	nonessential
YPR138C	MEP3	0.077093522988688	KD	nonessential
YBR196C	PGI1	0.0730962157130534	OE	nonessential
YOR375C	GDH1	0.0677697439231183	KD	nonessential
YNL036W	NCE103	0.0646446067978586	KD	nonessential
YHR163W	SOL3	0.0535215429235073	KD	nonessential
YHR183W	GND1	0.0535215429235073	KD	nonessential
YNL241C	ZWF1	0.0535215429235073	KD	nonessential
YGL062W	PYC1	0.0468641630455108	KD	nonessential
YGR240C	PFK1	0.0427851078726715	OE	nonessential
YKL060C	FBA1	0.0427851078726715	OE	nonessential
YMR205C	PFK2	0.0427851078726715	OE	nonessential
YPL134C	ODC1	0.0346543949911641	KD	nonessential
YJL121C	RPE1	0.0317643182235153	KD	nonessential
YOL126C	MDH2	0.0315726085957612	KD	nonessential
YLR153C	ACS2	0.0234999002157859	KD	nonessential
YPL061W	ALD6	0.0227046255180348	KD	nonessential
YOR095C	RKI1	0.0217331291619896	KD	essential
YHL012W	YHL012W	0.0178251566631729	KD	nonessential
YMR105C	PGM2	0.0178251566631729	KD	nonessential
YKL029C	MAE1	0.0159145673633972	KD	nonessential
YPR074C	TKL1	0.0158821591117577	KD	nonessential
YKL067W	YNK1	0.0157064315008228	KD	essential
YLR027C	AAT2	0.0152915544497496	KD	essential
YPR021C	AGC1	0.0142946668653566	KD	nonessential
YGL202W	ARO8	0.014273199833256	KD	nonessential
YDL141W	BPL1	0.0142641755840292	KD	essential
YNR016C	ACC1	0.0142641755840292	KD	essential
YHR137W	ARO9	0.0124201603870997	KD	nonessential
YPR035W	GLN1	0.0111701159255695	KD	essential
YHR208W	BAT1	0.0098468188734708	KD	essential
YMR306W	FKS3	0.00890498823689634	KD	nonessential
YPR165W	RHO1	0.00890498823689634	KD	essential
YDL055C	PSA1	0.00845801599403456	KD	essential
YPR183W	DPM1	0.00845801599403456	KD	essential
YDL093W	PMT5	0.00845801599403456	KD	nonessential
YER003C	PMI40	0.00845801599403456	KD	essential
YFL045C	SEC53	0.00845801599403456	KD	essential
YJR016C	ILV3	0.00776595712933057	KD	essential
YLR355C	ILV5	0.00776595712933057	KD	essential
YMR108W	ILV2	0.00776595712933057	KD	essential
YGR208W	SER2	0.00728704189457834	KD	nonessential
YOR184W	SER1	0.00728704189457834	KD	nonessential
YER081W	SER3	0.00728704189457833	KD	nonessential
YIL074C	SER33	0.00658864986112138	KD	nonessential
YOR335C	ALA1	0.00634932386312921	KD	essential
YNL104C	LEU4	0.0061850246419635	KO	nonessential
YLR058C	SHM2	0.00581666940531226	KD	nonessential
YDR035W	ARO3	0.00562660978312289	KO	nonessential
YJR148W	BAT2	0.00514344923176838	KD	essential
YOL064C	MET22	0.00480781133625671	KD	nonessential
YPR058W	YMC1	0.00457957699954378	KD	nonessential
YFR015C	GSY1	0.0042997284030981	KD	nonessential
YKR058W	GLG1	0.0042997284030981	KD	nonessential
YGL245W	GUS1	0.00417660434134487	KD	essential
YLL018C	DPS1	0.00411709675105642	KD	essential
YGL009C	LEU1	0.00410187382157326	KD	essential
YCL018W	LEU2	0.00410187382157326	KD	essential
YPL160W	CDC60	0.00410187382157326	KD	essential
YPR081C	GRS2	0.00401883977323801	KD	nonessential
YPL095C	EEB1	0.00401615543543259	KO	nonessential
YKL217W	JEN1	0.00401615543543259	KO	nonessential
YFL030W	AGX1	0.00401551682385092	KD	nonessential
YDR196C	CAB5	0.00401539634616031	KD	essential
YPR011C	YPR011C	0.00401252218118188	KO	nonessential
YPL148C	PPT2	0.00401252218118188	KO	nonessential
YER099C	PRS2	0.00398291287202386	KD	nonessential
YKL181W	PRS1	0.00398291287202386	KD	nonessential
YBR115C	LYS2	0.00396071589815997	KD	essential
YER152C	YER152C	0.00396071589815997	KD	nonessential
YGL154C	LYS5	0.00396071589815997	KD	essential
YIR034C	LYS1	0.00396071589815997	KD	essential
YNR050C	LYS9	0.00396071589815997	KD	essential
YDR037W	KRS1	0.00396071589815997	KD	essential
YDR234W	LYS4	0.00396071589815997	KD	essential
YIL094C	LYS12	0.00396071589815997	KD	essential
YJL200C	ACO2	0.00396071589815997	KD	nonessential
YOR222W	ODC2	0.00396071589815997	KD	nonessential
YDL131W	LYS21	0.00396071589815997	KD	nonessential
