rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0959_EXP_2	pyruvate decarboxylase	1.08859573732002	YLR044C	H+[c] + pyruvate[c] + 0.11781 prot_pool[c] => acetaldehyde[c] + carbon dioxide[c]
r_0489_EXP_1	glycerol-3-phosphatase	1	YER062C	glycerol 3-phosphate[c] + H2O[c] + 0.6923 prot_pool[c] => glycerol[c] + phosphate[c]
r_0486_EXP_2	glyceraldehyde-3-phosphate dehydrogenase	0.898752983264007	YJL052W	glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] + 0.34243 prot_pool[c] => 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]
r_0892	phosphoglycerate kinase	0.898752983264007	YCR012W	1,3-bisphospho-D-glycerate[c] + ADP[c] + 0.023155 prot_pool[c] => 3-phosphonato-D-glycerate(3-)[c] + ATP[c]
r_0893_EXP_2	phosphoglycerate mutase	0.891465941369429	YKL152C	3-phosphonato-D-glycerate(3-)[c] + 0.013315 prot_pool[c] => 2-phospho-D-glyceric acid[c]
r_0366_EXP_2	enolase	0.891465941369428	YGR254W	2-phospho-D-glyceric acid[c] + 0.056541 prot_pool[c] => H2O[c] + phosphoenolpyruvate[c]
r_0962_EXP_1	pyruvate kinase	0.884002868961596	YAL038W	ADP[c] + H+[c] + phosphoenolpyruvate[c] + 0.065308 prot_pool[c] => ATP[c] + pyruvate[c]
r_0569	inorganic diphosphatase	0.114551216047162	YMR267W	diphosphate[m] + H2O[m] + 0.0019435 prot_pool[c] => H+[m] + 2 phosphate[m]
r_0148_EXP_2	adenylate kinase	0.0943024805914105	YDR226W	AMP[c] + ATP[c] + 0.0010134 prot_pool[c] => 2 ADP[c]
r_0467	glucose-6-phosphate isomerase	0.0730962157130534	YBR196C	D-glucose 6-phosphate[c] + 0.024858 prot_pool[c] => D-fructose 6-phosphate[c]
r_0450	fructose-bisphosphate aldolase	0.0678222885316272	YKL060C	D-fructose 1,6-bisphosphate[c] + 0.33864 prot_pool[c] => dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c]
r_0886	phosphofructokinase	0.0678222885316272	YGR240C and YMR205C	ATP[c] + D-fructose 6-phosphate[c] + 0.36793 prot_pool[c] => ADP[c] + D-fructose 1,6-bisphosphate[c] + H+[c]
r_0471_EXP_2	glutamate dehydrogenase (NADP)	0.0677697439231183	YOR375C	2-oxoglutarate[c] + ammonium[c] + H+[c] + NADPH[c] + 0.00077305 prot_pool[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]
r_1667	bicarbonate formation	0.0646446067978586	YNL036W	carbon dioxide[c] + H2O[c] + 1.0824e-05 prot_pool[c] => bicarbonate[c] + H+[c]
r_0091_EXP_2	6-phosphogluconolactonase	0.0535215429235073	YHR163W	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.77178 prot_pool[c] => 6-phospho-D-gluconate[c] + H+[c]
r_0466	glucose 6-phosphate dehydrogenase	0.0535215429235073	YNL241C	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.02525 prot_pool[c] => 6-O-phosphono-D-glucono-1,5-lactone[c] + H+[c] + NADPH[c]
r_0889_EXP_2	phosphogluconate dehydrogenase	0.0535215429235073	YHR183W	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.4086 prot_pool[c] => carbon dioxide[c] + D-ribulose 5-phosphate[c] + NADPH[c]
r_0958_EXP_2	pyruvate carboxylase	0.0468641630455108	YGL062W	ATP[c] + bicarbonate[c] + pyruvate[c] + 0.60231 prot_pool[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]
r_0984	ribulose 5-phosphate 3-epimerase	0.0317643182235153	YJL121C	D-ribulose 5-phosphate[c] + 0.063551 prot_pool[c] => D-xylulose 5-phosphate[c]
