EnvIndex	Exchange	Condition	Iteration	Rxn	OldKcat	NewKcat	FoldChange
1	EX_glc_e	aerobic	NaN	3OAS100_EXP_1	0.08	0.592019995540654	7.40024994425817
1	EX_glc_e	aerobic	NaN	3OAS120_EXP_1	0.08	0.25107427013768	3.138428376721
1	EX_glc_e	aerobic	NaN	3OAS140_EXP_1	0.08	0.25107427013768	3.138428376721
1	EX_glc_e	aerobic	NaN	3OAS60_EXP_1	0.08	0.538199995946049	6.72749994932561
1	EX_glc_e	aerobic	NaN	ACONTa	5.3	5.83	1.1
1	EX_glc_e	aerobic	NaN	ACONTb	5.2	5.72	1.1
1	EX_glc_e	aerobic	NaN	GAPD_EXP_1	6.45	69.8838533348551	10.8347059433884
1	EX_glc_e	aerobic	NaN	GLCptspp	31.6097281982234	50.9077833605208	1.61051
1	EX_glc_e	aerobic	NaN	KARA1_REV	0.235	0.50374337035	2.14358881
1	EX_glc_e	aerobic	NaN	PRFGS	0.05	0.172613560719655	3.4522712143931
1	EX_glc_e	aerobic	NaN	PRPPS	0.66	1.55624547606	2.357947691
1	EX_glc_e	aerobic	NaN	PSP_L	0.182	0.836285083517014	4.59497298635722
3	EX_sucr_e	aerobic	NaN	SUCptsp	4.14271823444649	7.33907805813426	1.771561
4	EX_ac_e	aerobic	NaN	3OAS100_EXP_1	0.592019995540654	1.153679488852	1.9487171
4	EX_ac_e	aerobic	NaN	3OAS120_EXP_1	0.25107427013768	0.489272723587317	1.9487171
4	EX_ac_e	aerobic	NaN	3OAS140_EXP_1	0.25107427013768	0.489272723587317	1.9487171
4	EX_ac_e	aerobic	NaN	3OAS60_EXP_1	0.538199995946049	1.153679488852	2.14358881
4	EX_ac_e	aerobic	NaN	ACKr	1500	2196.15	1.4641
4	EX_ac_e	aerobic	NaN	ACONTa	5.83	1775.12795852648	304.481639541419
4	EX_ac_e	aerobic	NaN	ACONTb	5.72	1915.79847599461	334.929803495562
4	EX_ac_e	aerobic	NaN	ACt2rpp	28.9893010387167	1443.23760289948	49.7851811249937
4	EX_ac_e	aerobic	NaN	ADSL1r	7.5	37.9085271374471	5.05447028499294
4	EX_ac_e	aerobic	NaN	ADSL2r	7.5	34.4622973976792	4.59497298635722
4	EX_ac_e	aerobic	NaN	ADSS	5.5	33.6374997466281	6.11590904484146
4	EX_ac_e	aerobic	NaN	AICART	1.30166166666667	20.6483800360508	15.863092971715
4	EX_ac_e	aerobic	NaN	AIRC2	24.83	30.0443	1.21
4	EX_ac_e	aerobic	NaN	ATPS4rpp	20	6089.63279082839	304.48163954142
4	EX_ac_e	aerobic	NaN	CHORS	0.87	1.8649222647	2.14358881
4	EX_ac_e	aerobic	NaN	CS_EXP_1	167	1495.36850623625	8.95430243255239
4	EX_ac_e	aerobic	NaN	FBA_REV	0.002	1.57949391359889	789.746956799444
4	EX_ac_e	aerobic	NaN	FUM	519.192793951604	1971.6337710074	3.79749833583241
4	EX_ac_e	aerobic	NaN	ICL	800	1714.871048	2.14358881
4	EX_ac_e	aerobic	NaN	KARA1_REV	0.50374337035	0.981653319812679	1.9487171
4	EX_ac_e	aerobic	NaN	MDH	267.207784317748	2392.65931311335	8.95430243255239
4	EX_ac_e	aerobic	NaN	NADH16pp	250.25	2037.10380340567	8.14027493868399
4	EX_ac_e	aerobic	NaN	NH4tpp_EXP_1	28.9893010387167	100.078929501338	3.4522712143931
4	EX_ac_e	aerobic	NaN	PRAGSr	7	16.505633837	2.357947691
4	EX_ac_e	aerobic	NaN	PRAIS	4.00325	13.8203047390192	3.4522712143931
4	EX_ac_e	aerobic	NaN	PRFGS	0.172613560719655	29.66742888052	171.871947701163
4	EX_ac_e	aerobic	NaN	PRPPS	1.55624547606	77.4779629005992	49.7851811249937
4	EX_ac_e	aerobic	NaN	PSERT	2.49	22.2962130570554	8.95430243255239
4	EX_ac_e	aerobic	NaN	PSP_L	0.836285083517014	21.3651352241046	25.5476698618767
