Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
ACONTa	0.9081	3.2509	0.0000	0.3196
ACONTb	0.9081	3.2509	0.0000	0.3196
MDH	-0.6314	9.5305	-102.7400	-7.1310
EX_co2_e	9.6676	10.3946	0.0000	4.8055
EX_h2o_e	18.7067	20.2709	-2.1015	10.2976
PDH	2.8087	6.7632	0.0000	0.6526
NH4tpp	3.4779	4.2435	0.0000	2.8783
O2tpp	8.3719	9.1651	0.0000	2.2311
ATPS4rpp	26.9252	30.7849	-18.6800	7.0625
CYTBO3_4pp	13.8363	18.3195	0.0000	4.4620
CO2tpp	9.6676	10.3946	0.0000	4.8055
KARA1	-0.3953	-0.2919	-4.6700	-2.5628
