Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
ME2	0.0000	2.9285	7.1329	219.4900
PYRC	-4.2750	4.1272	6.6464	219.4900
ASP1DC	0.0003	0.1796	2.5598	8.6823
DPR	0.0003	0.0880	2.5598	2.6120
MOHMT	0.0003	0.0880	2.5598	2.6120
PANTS	0.0003	0.0880	2.5598	2.6120
EX_h_e	2.7457	3.8763	4.9086	25.2647
EX_k_e	-0.5389	-0.5389	-0.0055	-0.0000
EX_nh4_e	-4.2435	-3.4779	-2.8783	-0.0000
EX_o2_e	-9.1651	-8.3719	-2.1176	2.1015
GLYCL	0.0000	0.0578	1.1889	2.7877
GHMT2r	0.2315	0.4738	1.2819	8.3637
GAPD	5.8667	8.2095	9.0149	9.3400
PGK	5.8667	8.2095	9.0149	9.3400
H2Otpp	-20.2709	-18.7067	-10.2976	2.1015
ACLS	0.2919	0.3953	2.5628	9.3400
DHAD1	0.2919	0.3953	2.5628	9.3400
