gene_IDs	gene_names	slope	action	essentiality
Cgl1206	Cgl1206	417.436266487823	KD	nonessential
Cgl1207	Cgl1207	417.436266487823	KD	nonessential
Cgl1208	Cgl1208	417.436266487823	KD	nonessential
Cgl1209	Cgl1209	417.436266487823	KD	nonessential
Cgl1210	Cgl1210	417.436266487823	KD	nonessential
Cgl1211	Cgl1211	417.436266487823	KD	nonessential
Cgl1212	Cgl1212	417.436266487823	KD	nonessential
Cgl1213	Cgl1213	417.436266487823	KD	nonessential
Cgl2192	Cgl2192	350.281064273883	KD	nonessential
Cgl2194	Cgl2194	350.281064273883	KD	nonessential
Cgl2195	Cgl2195	350.281064273883	KD	nonessential
Cgl2523	Cgl2523	350.281064273883	KD	nonessential
Cgl0203	Cgl0203	245.421625714304	KD	nonessential
Cgl1572	Cgl1572	245.421625714304	KD	nonessential
Cgl2537	Cgl2537	245.421625714304	KD	nonessential
Cgl3004	Cgl3004	245.421625714304	KD	nonessential
Cgl1452	Cgl1452	160.744123872792	KD	nonessential
Cgl1576	Cgl1576	160.744123872792	KD	nonessential
Cgl1578	Cgl1578	160.744123872792	KD	nonessential
Cgl0269	Cgl0269	104.844582208499	KD	nonessential
Cgl2729	Cgl2729	104.844582208499	KD	nonessential
Cgl2731	Cgl2731	104.844582208499	KD	nonessential
Cgl1598	Cgl1598	102.993376078411	KD	nonessential
Cgl0851	Cgl0851	93.3414971403562	KD	nonessential
Cgl0937	Cgl0937	68.3119095727059	KD	nonessential
Cgl1587	Cgl1587	68.3119095727059	KD	essential
Cgl1588	Cgl1588	68.3119095727059	KD	nonessential
Cgl3036	Cgl3036	67.9738894302099	KD	nonessential
Cgl0402	Cgl0402	62.427894687318	KD	nonessential
Cgl0974	Cgl0974	62.427894687318	KD	nonessential
Cgl1058	Cgl1058	62.427894687318	KD	nonessential
Cgl2236	Cgl2236	62.427894687318	KD	nonessential
Cgl2350	Cgl2350	62.427894687318	KD	nonessential
cg3506	cg3506	62.427894687318	KD	nonessential
Cgl2423	Cgl2423	57.7507477943811	KD	essential
Cgl1574	Cgl1574	52.1994122466309	KD	nonessential
Cgl1575	Cgl1575	51.4966880392054	KD	essential
Cgl1583	Cgl1583	47.8619341805373	KD	nonessential
Cgl2061	Cgl2061	47.8619341805373	KD	nonessential
Cgl2079	Cgl2079	37.3510760972343	KD	nonessential
Cgl0366	Cgl0366	32.2273821636346	KD	essential
Cgl1129	Cgl1129	32.2273821636346	KD	essential
Cgl2207	Cgl2207	32.2273821636346	KD	essential
Cgl2248	Cgl2248	32.2273821636346	KD	essential
Cgl1392	Cgl1392	19.0679640149847	KD	nonessential
Cgl2254	Cgl2254	19.0679640149847	KD	nonessential
Cgl2858	Cgl2858	19.0679640149847	KD	nonessential
Cgl2892	Cgl2892	19.0679640149847	KD	nonessential
cg3050	cg3050	19.0679640149847	KD	nonessential
Cgl2670	Cgl2670	16.03784569761	KD	nonessential
Cgl0689	Cgl0689	14.4576283647182	KD	nonessential
Cgl0556	Cgl0556	14.1231431141233	KD	nonessential
Cgl0240	Cgl0240	11.0913798240743	KD	essential
Cgl1250	Cgl1250	8.86618300140196	KD	nonessential
Cgl2770	Cgl2770	8.86618300140196	KD	nonessential
Cgl1586	Cgl1586	8.49148010389098	KD	nonessential
Cgl0664	Cgl0664	7.71938542977235	KD	essential
Cgl0696	Cgl0696	7.71938542977235	KD	nonessential
Cgl0829	Cgl0829	7.71938542977235	KD	nonessential
Cgl1540	Cgl1540	7.71938542977235	KD	essential
Cgl2214	Cgl2214	7.17604495061151	KD	nonessential
Cgl2229	Cgl2229	7.17604495061151	KD	nonessential
Cgl0712	Cgl0712	6.94972472225798	KD	nonessential
Cgl0828	Cgl0828	5.88401488538786	KD	essential
Cgl1284	Cgl1284	5.88401488538786	KD	essential
Cgl2522	Cgl2522	5.88401488538786	KD	essential
Cgl2844	Cgl2844	4.97710469814268	KD	essential
Cgl0251	Cgl0251	4.61997547357391	KD	essential
Cgl0252	Cgl0252	4.61997547357391	KD	essential
Cgl1010	Cgl1010	4.35313688912849	KD	nonessential
Cgl2380	Cgl2380	4.35313688912849	KD	nonessential
Cgl2370	Cgl2370	3.98601958288921	KD	essential
Cgl0648	Cgl0648	3.56416360410858	KD	essential
Cgl0996	Cgl0996	3.51670615067559	KD	essential
Cgl1183	Cgl1183	3.00607650681247	KD	essential
Cgl0942	Cgl0942	2.93523186985664	KD	essential
Cgl1184	Cgl1184	2.77787090789851	KD	essential
Cgl2220	Cgl2220	2.77787090789851	KD	essential
Cgl1268	Cgl1268	2.76384112904022	KD	essential
Cgl1271	Cgl1271	2.76384112904022	KD	essential
Cgl1272	Cgl1272	2.76384112904022	KD	essential
Cgl1273	Cgl1273	2.76384112904022	KD	essential
Cgl2572	Cgl2572	2.72635611606299	KD	nonessential
Cgl2573	Cgl2573	2.72635611606299	KD	nonessential
Cgl2574	Cgl2574	2.72635611606299	KD	nonessential
Cgl2575	Cgl2575	2.72635611606299	KD	nonessential
