gene_IDs	gene_names	slope	action	essentiality
Cgl1206	Cgl1206	417.70351571858	KD	nonessential
Cgl1207	Cgl1207	417.70351571858	KD	nonessential
Cgl1208	Cgl1208	417.70351571858	KD	nonessential
Cgl1209	Cgl1209	417.70351571858	KD	nonessential
Cgl1210	Cgl1210	417.70351571858	KD	nonessential
Cgl1211	Cgl1211	417.70351571858	KD	nonessential
Cgl1212	Cgl1212	417.70351571858	KD	nonessential
Cgl1213	Cgl1213	417.70351571858	KD	nonessential
Cgl2192	Cgl2192	350.503369204978	KD	nonessential
Cgl2194	Cgl2194	350.503369204978	KD	nonessential
Cgl2195	Cgl2195	350.503369204978	KD	nonessential
Cgl2523	Cgl2523	350.503369204978	KD	nonessential
Cgl1572	Cgl1572	245.573747256081	KD	nonessential
Cgl1452	Cgl1452	160.845719273924	KD	nonessential
Cgl1576	Cgl1576	160.845719273924	KD	nonessential
Cgl1578	Cgl1578	160.845719273924	KD	nonessential
Cgl0269	Cgl0269	104.914756064233	KD	nonessential
Cgl2729	Cgl2729	104.914756064233	KD	nonessential
Cgl2731	Cgl2731	104.914756064233	KD	nonessential
Cgl1598	Cgl1598	103.058430784795	KD	nonessential
Cgl0851	Cgl0851	93.3989748149042	KD	nonessential
Cgl0937	Cgl0937	68.3579940514687	KD	nonessential
Cgl1587	Cgl1587	68.3579940514687	KD	essential
Cgl3036	Cgl3036	68.0183737462438	KD	nonessential
Cgl0974	Cgl0974	62.4698809328798	KD	nonessential
cg3506	cg3506	62.4698809328798	KD	nonessential
Cgl2423	Cgl2423	57.7872884891289	KD	essential
Cgl1574	Cgl1574	52.2323905504654	KD	nonessential
Cgl1575	Cgl1575	51.5292153923976	KD	essential
Cgl1583	Cgl1583	47.8933031891421	KD	nonessential
Cgl2079	Cgl2079	37.3760194627489	KD	nonessential
Cgl0366	Cgl0366	32.2480630488717	KD	essential
Cgl1129	Cgl1129	32.2480630488717	KD	essential
Cgl2207	Cgl2207	32.2480630488717	KD	essential
Cgl2248	Cgl2248	32.2480630488717	KD	essential
cg3050	cg3050	19.0802002671723	KD	nonessential
Cgl2670	Cgl2670	16.0487801847908	KD	nonessential
Cgl0689	Cgl0689	14.467547800204	KD	nonessential
Cgl0556	Cgl0556	14.1328576846401	KD	nonessential
Cgl0240	Cgl0240	11.0991495186664	KD	essential
Cgl1250	Cgl1250	8.87325583815931	KD	nonessential
Cgl2770	Cgl2770	8.87325583815931	KD	nonessential
Cgl1586	Cgl1586	8.49831248712398	KD	nonessential
Cgl0664	Cgl0664	7.72433909691676	KD	essential
Cgl0696	Cgl0696	7.72433909691676	KD	nonessential
Cgl1540	Cgl1540	7.72433909691676	KD	essential
Cgl2214	Cgl2214	7.18065194265582	KD	nonessential
Cgl0712	Cgl0712	6.95418448441554	KD	nonessential
Cgl0828	Cgl0828	5.88811311858886	KD	essential
Cgl1284	Cgl1284	5.88811311858886	KD	essential
Cgl2522	Cgl2522	5.88811311858886	KD	essential
Cgl2844	Cgl2844	4.98029859489026	KD	essential
Cgl0251	Cgl0251	4.62294019413614	KD	essential
Cgl0252	Cgl0252	4.62294019413614	KD	essential
Cgl1010	Cgl1010	4.35594081537915	KD	nonessential
Cgl2380	Cgl2380	4.35594081537915	KD	nonessential
Cgl2370	Cgl2370	3.98858220400266	KD	essential
Cgl0648	Cgl0648	3.56645278755032	KD	essential
Cgl0996	Cgl0996	3.51928523968998	KD	essential
Cgl1183	Cgl1183	3.00800555965753	KD	essential
Cgl0942	Cgl0942	2.93711645851839	KD	essential
Cgl1184	Cgl1184	2.77965351714546	KD	essential
Cgl2220	Cgl2220	2.77965351714546	KD	essential
Cgl1268	Cgl1268	2.76625645294228	KD	essential
Cgl1271	Cgl1271	2.76625645294228	KD	essential
Cgl1272	Cgl1272	2.76625645294228	KD	essential
Cgl1273	Cgl1273	2.76625645294228	KD	essential
Cgl2572	Cgl2572	2.72810566735062	KD	nonessential
Cgl2573	Cgl2573	2.72810566735062	KD	nonessential
Cgl2574	Cgl2574	2.72810566735062	KD	nonessential
Cgl2575	Cgl2575	2.72810566735062	KD	nonessential
