gene_IDs	gene_names	slope	action	essentiality
Cgl1206	Cgl1206	417.703515738903	KD	nonessential
Cgl1207	Cgl1207	417.703515738903	KD	nonessential
Cgl1208	Cgl1208	417.703515738903	KD	nonessential
Cgl1209	Cgl1209	417.703515738903	KD	nonessential
Cgl1210	Cgl1210	417.703515738903	KD	nonessential
Cgl1211	Cgl1211	417.703515738903	KD	nonessential
Cgl1212	Cgl1212	417.703515738903	KD	nonessential
Cgl1213	Cgl1213	417.703515738903	KD	nonessential
Cgl2192	Cgl2192	350.503369224373	KD	nonessential
Cgl2194	Cgl2194	350.503369224373	KD	nonessential
Cgl2195	Cgl2195	350.503369224373	KD	nonessential
Cgl2523	Cgl2523	350.503369224373	KD	nonessential
Cgl1572	Cgl1572	245.573747274003	KD	nonessential
Cgl1452	Cgl1452	160.845719364157	KD	nonessential
Cgl1576	Cgl1576	160.845719364157	KD	nonessential
Cgl1578	Cgl1578	160.845719364157	KD	nonessential
Cgl0269	Cgl0269	104.914756065705	KD	nonessential
Cgl2729	Cgl2729	104.914756065705	KD	nonessential
Cgl2731	Cgl2731	104.914756065705	KD	nonessential
Cgl1598	Cgl1598	103.058430844894	KD	nonessential
Cgl0851	Cgl0851	93.3989748895257	KD	nonessential
Cgl0937	Cgl0937	68.3579940524386	KD	nonessential
Cgl1587	Cgl1587	68.3579940524386	KD	essential
Cgl3036	Cgl3036	68.0183737618627	KD	nonessential
Cgl0974	Cgl0974	62.4698809337653	KD	nonessential
cg3506	cg3506	62.4698809337653	KD	nonessential
Cgl2423	Cgl2423	57.7872885192629	KD	essential
Cgl1574	Cgl1574	52.2323905805243	KD	nonessential
Cgl1575	Cgl1575	51.5292154224469	KD	essential
Cgl1583	Cgl1583	47.8933033512651	KD	nonessential
Cgl2079	Cgl2079	37.3760196247385	KD	nonessential
Cgl0366	Cgl0366	32.2480630493079	KD	essential
Cgl1129	Cgl1129	32.2480630493079	KD	essential
Cgl2207	Cgl2207	32.2480630493079	KD	essential
Cgl2248	Cgl2248	32.2480630493079	KD	essential
cg3050	cg3050	19.0802002674304	KD	nonessential
Cgl2670	Cgl2670	16.0487801850201	KD	nonessential
Cgl0689	Cgl0689	14.4675478004132	KD	nonessential
Cgl0556	Cgl0556	14.1328576995114	KD	nonessential
Cgl0240	Cgl0240	11.0991496802959	KD	essential
Cgl1250	Cgl1250	8.87325582362577	KD	nonessential
Cgl2770	Cgl2770	8.87325582362577	KD	nonessential
Cgl1586	Cgl1586	8.49831247258538	KD	nonessential
Cgl0664	Cgl0664	7.72433909702124	KD	essential
Cgl0696	Cgl0696	7.72433909702124	KD	nonessential
Cgl1540	Cgl1540	7.72433909702124	KD	essential
Cgl2214	Cgl2214	7.18065194275025	KD	nonessential
Cgl0712	Cgl0712	6.95418448450961	KD	nonessential
Cgl0828	Cgl0828	5.88811311867324	KD	essential
Cgl1284	Cgl1284	5.88811311867324	KD	essential
Cgl2522	Cgl2522	5.88811311867324	KD	essential
Cgl2844	Cgl2844	4.98029859495762	KD	essential
Cgl0251	Cgl0251	4.62294019419867	KD	essential
Cgl0252	Cgl0252	4.62294019419867	KD	essential
Cgl1010	Cgl1010	4.3559409769039	KD	nonessential
Cgl2380	Cgl2380	4.3559409769039	KD	nonessential
Cgl2370	Cgl2370	3.98858228479021	KD	essential
Cgl0648	Cgl0648	3.56645278759586	KD	essential
Cgl0996	Cgl0996	3.51928523974232	KD	essential
Cgl1183	Cgl1183	3.00800555969822	KD	essential
Cgl0942	Cgl0942	2.93711645855675	KD	essential
Cgl1184	Cgl1184	2.77965351718305	KD	essential
Cgl2220	Cgl2220	2.77965351718305	KD	essential
Cgl1268	Cgl1268	2.76625645299322	KD	essential
Cgl1271	Cgl1271	2.76625645299322	KD	essential
Cgl1272	Cgl1272	2.76625645299322	KD	essential
Cgl1273	Cgl1273	2.76625645299322	KD	essential
Cgl2572	Cgl2572	2.72810566738754	KD	nonessential
Cgl2573	Cgl2573	2.72810566738754	KD	nonessential
Cgl2574	Cgl2574	2.72810566738754	KD	nonessential
Cgl2575	Cgl2575	2.72810566738754	KD	nonessential
