	Substrate	Uptake	biomass	EX_ac_e	EX_etoh_e	EX_succ_e	EX_for_e	EX_co2_e	EX_o2_e	EX_nh4_e	OxAvail	Media
1	EX_glc__D_e	-2.8	0.2	0	Nan	Nan	Nan	8.7	-8.3	Nan	aerobic	MIN
2	EX_glc__D_e	-9.53	0.73	3.49	0	0	0	Nan	Nan	Nan	aerobic	MIN
3	EX_glc__D_e	-3.008	0.3	Nan	Nan	Nan	Nan	7.385	-7.413	-2.367	aerobic	MIN
4	EX_glc__D_e	-0.89	0.04	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
5	EX_glc__D_e	-1.14	0.05	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
6	EX_glc__D_e	-1.67	0.1	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
7	EX_glc__D_e	-1.7	0.11	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
8	EX_glc__D_e	-2.81	0.19	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
9	EX_glc__D_e	-3.05	0.21	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
10	EX_glc__D_e	-3.08	0.21	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
11	EX_glc__D_e	-3.48	0.28	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
12	EX_glc__D_e	-3.62	0.3	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
13	EX_glc__D_e	-4.14	0.34	0	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
14	EX_glc__D_e	-4.8	0.4	0.16	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
15	EX_glc__D_e	-5.05	0.4	0.68	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
16	EX_glc__D_e	-5.6	0.41	1.33	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
17	EX_glc__D_e	-6.58	0.51	1.66	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
18	EX_glc__D_e	-6.4	0.52	1.27	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
19	EX_glc__D_e	-6.76	0.54	1.99	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
20	EX_glc__D_e	-7.26	0.55	2.51	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
21	EX_glc__D_e	-7.85	0.59	6.11	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
22	EX_glc__D_e	-7.6	0.65	4.8	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
23	EX_glc__D_e	-9.65	0.65	6.76	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
24	EX_glc__D_e	-8.59	0.69	3.91	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
25	EX_glc__D_e	-7.54	0.61	2.72	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
26	EX_glc__D_e	-8.6	0.66	4.3	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
27	EX_glc__D_e	-2.66	0.21	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
28	EX_glc__D_e	-3.81	0.22	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
29	EX_glc__D_e	-4.91	0.26	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
30	EX_glc__D_e	-2.78	0.31	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
31	EX_glc__D_e	-3.25	0.36	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
32	EX_glc__D_e	-4.36	0.41	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
33	EX_glc__D_e	-5.52	0.46	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
34	EX_glc__D_e	-6.24	0.51	Nan	Nan	Nan	Nan	Nan	Nan	Nan	aerobic	MIN
