Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
EX_glc__D_e	-1.504342419	-1.615027977	-2.50115774	-2.66	-2.61192396	-3.81	-4.91	0	0	-2.78	-3.719586163	-4.162651044	-3.25	-4.716482146	0	-4.36	0	0	-5.52	0	0	0	-5.713378129	-5.824144349	-6.24	-6.377975451	0	-6.710274111	-7.264105213	0	-7.596403874
EX_gal_e	0	0	0	0	0	0	0	-3.199078799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_ac_e	0	0	0	0	0	0	0	0	-13.80930923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_pyr_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12.53232336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_fum_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.20177619	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_succ_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.788453287	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_gam_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.379268448	0	0	0	0	0	0	0	0	0	0	0
EX_glyc_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.525833008	0	0	0	0	0	0	0	0	0	0
EX_man_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.491845688	0	0	0	0	0	0	0	0	0
EX_xyl__D_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.75045118	0	0	0	0
EX_fru_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.485637654	0
