	μ(h-1)	substrate uptake rate
EX_ac_e	0.26 	-12.35 
EX_ac_e	0.19 	-11.28 
EX_ac_e	0.21 	-11.31 
EX_ac_e	0.27 	-14.61 
EX_ac_e	0.25 	-13.54 
EX_ac_e	0.17 	-10.97 
EX_ac_e	0.19 	-10.52 
EX_ac_e	0.21 	-10.94 
EX_ac_e	0.31 	-15.50 
EX_succ_e	0.16 	-3.14 
EX_succ_e	0.23 	-4.20 
EX_succ_e	0.23 	-4.55 
EX_succ_e	0.35 	-5.54 
EX_succ_e	0.34 	-6.12 
EX_succ_e	0.34 	-6.34 
EX_succ_e	0.33 	-6.54 
EX_succ_e	0.36 	-8.00 
EX_succ_e	0.39 	-9.00 
EX_succ_e	0.48 	-10.19 
EX_succ_e	0.46 	-10.58 
EX_succ_e	0.46 	-11.03 
EX_succ_e	0.42 	-11.05 
EX_succ_e	0.47 	-11.40 
EX_succ_e	0.49 	-11.66 
EX_succ_e	0.51 	-11.73 
EX_succ_e	0.48 	-11.81 
EX_succ_e	0.45 	-12.15 
EX_succ_e	0.50 	-12.22 
EX_succ_e	0.51 	-12.59 
EX_succ_e	0.50 	-12.81 
EX_succ_e	0.51 	-12.93 
EX_succ_e	0.51 	-13.04 
EX_succ_e	0.51 	-14.64 
EX_gal_e	0.69 	-12.17 
EX_man_e	0.38 	-5.33 
EX_glyc_e	0.87 	-17.67 
EX_pyr_e	0.48 	-32.67 
EX_lac__L_e	0.52 	-22.33 
EX_ac_e	0.30 	-13.00 
EX_succ_e	0.36 	-9.50 
EX_fum_e	0.36 	-12.50 
EX_glyclt_e	0.21 	-19.00 
