gene_IDs	gene_names	slope	action	essentiality
b3731	b3731	7.7334819487294	KD	nonessential
b3732	b3732	7.7334819487294	KD	nonessential
b3733	b3733	7.7334819487294	KD	nonessential
b3734	b3734	7.7334819487294	KD	nonessential
b3735	b3735	7.7334819487294	KD	nonessential
b3736	b3736	7.7334819487294	KD	nonessential
b3737	b3737	7.7334819487294	KD	nonessential
b3738	b3738	7.7334819487294	KD	nonessential
b3739	b3739	7.7334819487294	KD	nonessential
b2276	b2276	5.03548827648315	KD	nonessential
b2277	b2277	5.03548827648315	KD	nonessential
b2278	b2278	5.03548827648315	KD	nonessential
b2279	b2279	5.03548827648315	KD	nonessential
b2280	b2280	5.03548827648315	KD	nonessential
b2281	b2281	5.03548827648315	KD	nonessential
b2282	b2282	5.03548827648315	KD	nonessential
b2283	b2283	5.03548827648315	KD	nonessential
b2284	b2284	5.03548827648315	KD	nonessential
b2285	b2285	5.03548827648315	KD	nonessential
b2286	b2286	5.03548827648315	KD	nonessential
b2287	b2287	5.03548827648315	KD	nonessential
b2288	b2288	5.03548827648315	KD	nonessential
b0957	b0957	1.99534742347547	KD	nonessential
b1319	b1319	1.99534742347547	KD	nonessential
b3875	b3875	1.99534742347547	KD	nonessential
b0875	b0875	1.99534742347547	KD	nonessential
b0114	b0114	1.96896978405771	KD	nonessential
b0115	b0115	1.96896978405771	KD	nonessential
b0116	b0116	1.96896978405771	KD	nonessential
b0767	b0767	1.61241114253387	OE	nonessential
b1852	b1852	1.61241114253387	OE	nonessential
b0010	b0010	1.50639179537569	KD	nonessential
b1849	b1849	1.4271887113097	KD	nonessential
b2296	b2296	1.4271887113097	KD	nonessential
b2297	b2297	1.4271887113097	KD	nonessential
b2458	b2458	1.4271887113097	KD	nonessential
b3115	b3115	1.4271887113097	KD	nonessential
b1854	b1854	1.10887265731804	KD	nonessential
b0241	b0241	1.04294455797193	KD	nonessential
b0929	b0929	1.04294455797193	KD	nonessential
b1377	b1377	1.04294455797193	KD	nonessential
b2215	b2215	1.04294455797193	KD	nonessential
b0131	b0131	0.999908306145011	OE	essential
b0133	b0133	0.999908306145011	OE	essential
b0134	b0134	0.999908306145011	OE	essential
b0425	b0425	0.999908306145011	OE	nonessential
b3774	b3774	0.940477831926407	OE	essential
b0529	b0529	0.893378820760836	OE	nonessential
b0077	b0077	0.881047357707803	OE	nonessential
b0078	b0078	0.881047357707803	OE	nonessential
b3670	b3670	0.881047357707803	OE	nonessential
b3671	b3671	0.881047357707803	OE	nonessential
b3771	b3771	0.881047357707803	OE	essential
b0902	b0902	0.758923658937994	OE	nonessential
b0903	b0903	0.758923658937994	OE	nonessential
b2579	b2579	0.758923658937994	OE	nonessential
b3114	b3114	0.758923658937994	OE	nonessential
b3951	b3951	0.758923658937994	OE	nonessential
b3952	b3952	0.758923658937994	OE	nonessential
b2502	b2502	0.523571653686564	OE	nonessential
b2744	b2744	0.523571653686564	OE	nonessential
b4226	b4226	0.523571653686564	OE	nonessential
b0451	b0451	0.469266824778452	KD	essential
b0928	b0928	0.375450570318723	OE	nonessential
b3433	b3433	0.37167750404517	KD	essential
b4024	b4024	0.37167750404517	KD	nonessential
b2976	b2976	0.37104273515306	OE	nonessential
b4014	b4014	0.37104273515306	OE	nonessential
b4015	b4015	0.37104273515306	OE	nonessential
b0002	b0002	0.34644475640851	KD	nonessential
b3940	b3940	0.34644475640851	KD	nonessential
b0003	b0003	0.300273295247855	KD	essential
b0004	b0004	0.300273295247855	KD	essential
b3844	b3844	0.297377864512374	KD	nonessential
b3870	b3870	0.246197320423261	KD	essential
b1136	b1136	0.226460438921608	KD	essential
b0351	b0351	0.22624203288152	KD	nonessential
b1241	b1241	0.22624203288152	KD	nonessential
b0870	b0870	0.22623581307196	KD	nonessential
b4054	b4054	0.218371371347739	OE	nonessential
b1761	b1761	0.155985246108784	KD	nonessential
b3212	b3212	0.155985246108784	KD	nonessential
b3213	b3213	0.155985246108784	KD	nonessential
b2551	b2551	0.154087782090453	KD	nonessential
b2987	b2987	0.131229143449923	KD	nonessential
b3493	b3493	0.131229143449923	KD	nonessential
b4383	b4383	0.127036802447961	KD	nonessential
b4094	b4094	0.126884568881592	KD	nonessential
b0521	b0521	0.0852435868187395	KD	nonessential
b2290	b2290	0.0791565569170166	KD	nonessential
b2379	b2379	0.0791565569170166	KD	nonessential
