rxn_IDs	rxnNames	slope	grRules	rxn_formula
PDH	Pyruvate dehydrogenase	1.96896978405771	b0115 and b0116 and b0114	Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] + Pyruvate[c] + 0.19764 prot_pool[c] => Acetyl-CoA[c] + CO2[c] + Nicotinamide adenine dinucleotide - reduced[c]
G6PDH2r	Glucose 6-phosphate dehydrogenase	1.61241114253387	b1852	D-Glucose 6-phosphate[c] + Nicotinamide adenine dinucleotide phosphate[c] + 0.053727 prot_pool[c] => 6-phospho-D-glucono-1,5-lactone[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c]
PGL	6-phosphogluconolactonase	1.61241114253387	b0767	6-phospho-D-glucono-1,5-lactone[c] + H2O[c] + 0.013497 prot_pool[c] => 6-Phospho-D-gluconate[c] + H+[c]
ACKr_REV	Acetate kinase (reversible)	1.4271887113097	b2296 or b1849 or b3115	Acetyl phosphate[c] + ADP[c] + 0.00099578 prot_pool[c] => Acetate[c] + ATP[c]
PTAr	Phosphotransacetylase	1.4271887113097	b2297 or b2458	Acetyl-CoA[c] + Phosphate[c] + 0.0068428 prot_pool[c] => Acetyl phosphate[c] + Coenzyme A[c]
PYK6	RE2954	1.10887265731804	b1854	DTDP[c] + H+[c] + Phosphoenolpyruvate[c] + 0.0021748 prot_pool[c] => DTTP[c] + Pyruvate[c]
ASP1DC	Aspartate 1-decarboxylase	0.999908306145011	b0131	L-Aspartate[c] + H+[c] + 6.7417 prot_pool[c] => Beta-Alanine[c] + CO2[c]
DPR	2-dehydropantoate 2-reductase	0.999908306145011	b0425 or b3774	2-Dehydropantoate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.35922 prot_pool[c] => Nicotinamide adenine dinucleotide phosphate[c] + (R)-Pantoate[c]
MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.999908306145011	b0134	3-Methyl-2-oxobutanoate[c] + H2O[c] + 5,10-Methylenetetrahydrofolate[c] + 18.8679 prot_pool[c] => 2-Dehydropantoate[c] + 5,6,7,8-Tetrahydrofolate[c]
PANTS	Pantothenate synthase	0.999908306145011	b0133	Beta-Alanine[c] + ATP[c] + (R)-Pantoate[c] + 0.04468 prot_pool[c] => AMP[c] + H+[c] + (R)-Pantothenate[c] + Diphosphate[c]
MTHFC_REV	Methenyltetrahydrofolate cyclohydrolase (reversible)	0.893378820760836	b0529	10-Formyltetrahydrofolate[c] + H+[c] + 0.21094 prot_pool[c] => H2O[c] + 5,10-Methenyltetrahydrofolate[c]
