gene_IDs	gene_names	slope	action	essentiality
b3731	b3731	6.88208151775861	KD	nonessential
b3732	b3732	6.88208151775861	KD	nonessential
b3733	b3733	6.88208151775861	KD	nonessential
b3734	b3734	6.88208151775861	KD	nonessential
b3735	b3735	6.88208151775861	KD	nonessential
b3736	b3736	6.88208151775861	KD	nonessential
b3737	b3737	6.88208151775861	KD	nonessential
b3738	b3738	6.88208151775861	KD	nonessential
b3739	b3739	6.88208151775861	KD	nonessential
b2276	b2276	3.63204147145018	KD	nonessential
b2277	b2277	3.63204147145018	KD	nonessential
b2278	b2278	3.63204147145018	KD	nonessential
b2279	b2279	3.63204147145018	KD	nonessential
b2280	b2280	3.63204147145018	KD	nonessential
b2281	b2281	3.63204147145018	KD	nonessential
b2282	b2282	3.63204147145018	KD	nonessential
b2283	b2283	3.63204147145018	KD	nonessential
b2284	b2284	3.63204147145018	KD	nonessential
b2285	b2285	3.63204147145018	KD	nonessential
b2286	b2286	3.63204147145018	KD	nonessential
b2287	b2287	3.63204147145018	KD	nonessential
b2288	b2288	3.63204147145018	KD	nonessential
b0114	b0114	2.87840108192516	KO	nonessential
b0115	b0115	2.87840108192516	KO	nonessential
b0957	b0957	2.35834646504048	KD	nonessential
b1319	b1319	2.35834646504048	KD	nonessential
b3875	b3875	2.35834646504048	KD	nonessential
b0875	b0875	2.35834646504048	KD	nonessential
b0116	b0116	1.47445636898188	KO	nonessential
b0010	b0010	1.44301934379364	KO	nonessential
b0241	b0241	1.22962291571516	KO	nonessential
b0929	b0929	1.22962291571516	KO	nonessential
b1377	b1377	1.22962291571516	KO	nonessential
b2215	b2215	1.22962291571516	KO	nonessential
b0131	b0131	0.999919184161996	OE	essential
b0133	b0133	0.999919184161996	OE	essential
b0134	b0134	0.999919184161996	OE	essential
b0425	b0425	0.999919184161996	OE	nonessential
b0529	b0529	0.906027727263684	OE	nonessential
b3771	b3771	0.895159196100114	OE	essential
b0077	b0077	0.895159196100114	OE	nonessential
b0078	b0078	0.895159196100114	OE	nonessential
b3774	b3774	0.895159196100114	OE	essential
b0474	b0474	0.797208362056934	OE	nonessential
b0902	b0902	0.787523531120042	OE	nonessential
b3114	b3114	0.787523531120042	OE	nonessential
b4226	b4226	0.580092296684767	OE	nonessential
b0928	b0928	0.449543423153536	OE	nonessential
b3433	b3433	0.327583881826529	KD	essential
b4024	b4024	0.327583881826529	KD	nonessential
b0451	b0451	0.294961693030989	KD	essential
b3940	b3940	0.283105314627791	KD	nonessential
b0003	b0003	0.264650646314559	KD	essential
b0004	b0004	0.264650646314559	KD	essential
b3844	b3844	0.262098712367602	KD	nonessential
b3870	b3870	0.216989925518187	KD	essential
b1136	b1136	0.199432342234135	KD	essential
b0351	b0351	0.199396533413248	KD	nonessential
b2551	b2551	0.135807718384529	KD	nonessential
b3493	b3493	0.115660893522556	KD	nonessential
b4383	b4383	0.111965907077544	KD	nonessential
b4094	b4094	0.111831733601688	KD	nonessential
b0521	b0521	0.0751307915248611	KD	nonessential
b2518	b2518	0.0728599743912555	KD	nonessential
b0726	b0726	0.0705116560386053	KO	nonessential
b0727	b0727	0.0705116560386053	KO	nonessential
b2290	b2290	0.0697658908722831	KD	nonessential
b4006	b4006	0.065052193211101	KD	essential
b0126	b0126	0.0630248427823459	KD	nonessential
b0071	b0071	0.0540208313234829	KD	essential
b0072	b0072	0.0540208313234829	KD	essential
b0073	b0073	0.0540208313234829	KD	nonessential
b4054	b4054	0.0540208313234829	KD	nonessential
b0074	b0074	0.0540208313234829	KD	essential
b2312	b2312	0.0537193906458191	KD	essential
b2499	b2499	0.0537193906458191	KD	essential
b2500	b2500	0.0537193906458191	KD	nonessential
b2557	b2557	0.0537193906458191	KD	essential
b4005	b4005	0.0537193906458191	KD	essential
b2476	b2476	0.0536926518744912	KD	essential
b0522	b0522	0.0536926518744912	KD	essential
b0523	b0523	0.0536926518744912	KD	essential
b1131	b1131	0.0536926518744912	KD	essential
b3770	b3770	0.0507391567383991	KD	essential
b0754	b0754	0.0456979990570558	KD	nonessential
b1693	b1693	0.0456979990570558	KD	essential
b2329	b2329	0.0456979990570558	KD	essential
b3281	b3281	0.0456979990570558	KD	nonessential
b3389	b3389	0.0456979990570558	KD	essential
b0908	b0908	0.0456979990570557	KD	essential
b3390	b3390	0.0456979990570557	KD	nonessential
b0171	b0171	0.0453286922602399	KD	nonessential
b0031	b0031	0.0444785671987381	KD	essential
b2478	b2478	0.0444785671987381	KD	essential
b0166	b0166	0.0444785671987381	KD	essential
b2472	b2472	0.0444785671987381	KD	essential
b3359	b3359	0.0444785671987381	KD	nonessential
b3809	b3809	0.0444785671987381	KD	essential
b3846	b3846	0.0426717217048352	KD	nonessential
b0221	b0221	0.0426717217048352	KD	nonessential
b1695	b1695	0.0426717217048352	KD	nonessential
b2341	b2341	0.0426717217048352	KD	nonessential
b3845	b3845	0.0426717217048352	KD	nonessential
