rxn_IDs	rxnNames	slope	grRules	rxn_formula
PDH	Pyruvate dehydrogenase	2.87840108192516	b0115 and b0116 and b0114	Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] + Pyruvate[c] + 0.19764 prot_pool[c] => Acetyl-CoA[c] + CO2[c] + Nicotinamide adenine dinucleotide - reduced[c]
ASP1DC	Aspartate 1-decarboxylase	0.999919184161996	b0131	L-Aspartate[c] + H+[c] + 6.7417 prot_pool[c] => Beta-Alanine[c] + CO2[c]
DPR_EXP_1	2-dehydropantoate 2-reductase	0.999919184161996	b0425	2-Dehydropantoate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.37634 prot_pool[c] => Nicotinamide adenine dinucleotide phosphate[c] + (R)-Pantoate[c]
MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.999919184161996	b0134	3-Methyl-2-oxobutanoate[c] + H2O[c] + 5,10-Methylenetetrahydrofolate[c] + 14.7993 prot_pool[c] => 2-Dehydropantoate[c] + 5,6,7,8-Tetrahydrofolate[c]
PANTS	Pantothenate synthase	0.999919184161996	b0133	Beta-Alanine[c] + ATP[c] + (R)-Pantoate[c] + 0.13566 prot_pool[c] => AMP[c] + H+[c] + (R)-Pantothenate[c] + Diphosphate[c]
MTHFC_REV	Methenyltetrahydrofolate cyclohydrolase (reversible)	0.906027727263684	b0529	10-Formyltetrahydrofolate[c] + H+[c] + 0.21094 prot_pool[c] => H2O[c] + 5,10-Methenyltetrahydrofolate[c]
MTHFD_REV	Methylenetetrahydrofolate dehydrogenase (NADP) (reversible)	0.906027727263684	b0529	5,10-Methenyltetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.21094 prot_pool[c] => 5,10-Methylenetetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate[c]
DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.895159196100114	b3771	(R)-2,3-Dihydroxy-3-methylbutanoate[c] + 0.053236 prot_pool[c] => 3-Methyl-2-oxobutanoate[c] + H2O[c]
ACLS_EXP_1	Acetolactate synthase	0.895159196100114	b0077 and b0078	H+[c] + 2 Pyruvate[c] + 0.40135 prot_pool[c] => (S)-2-Acetolactate[c] + CO2[c]
KARA1_REV	Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate) (reversible)	0.895159196100114	b3774	(S)-2-Acetolactate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.57766 prot_pool[c] => (R)-2,3-Dihydroxy-3-methylbutanoate[c] + Nicotinamide adenine dinucleotide phosphate[c]
ADK1	Adenylate kinase	0.797208362056934	b0474	AMP[c] + ATP[c] + 0.0037835 prot_pool[c] => 2 ADP[c]
PFL_EXP_2	Pyruvate formate lyase	0.787523531120042	b0902 and b3114	Coenzyme A[c] + Pyruvate[c] + 0.70563 prot_pool[c] => Acetyl-CoA[c] + Formate[c]
PPA_EXP_3	Inorganic diphosphatase	0.580092296684767	b4226	H2O[c] + Diphosphate[c] + 0.043852 prot_pool[c] => H+[c] + 2 Phosphate[c]
ASPTA_REV_EXP_1	Aspartate transaminase (reversible)	0.449543423153536	b0928	L-Glutamate[c] + Oxaloacetate[c] + 0.005635 prot_pool[c] => 2-Oxoglutarate[c] + L-Aspartate[c]
ASAD_REV	Aspartate-semialdehyde dehydrogenase (reversible)	0.327583881826529	b3433	4-Phospho-L-aspartate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.043086 prot_pool[c] => L-Aspartate 4-semialdehyde[c] + Nicotinamide adenine dinucleotide phosphate[c] + Phosphate[c]
ASPK_EXP_3	Aspartate kinase	0.327583881826529	b4024	L-Aspartate[c] + ATP[c] + 0.12853 prot_pool[c] => 4-Phospho-L-aspartate[c] + ADP[c]
HSDy_REV_EXP_1	Homoserine dehydrogenase (NADPH) (reversible)	0.283105314627791	b3940	L-Aspartate 4-semialdehyde[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.43547 prot_pool[c] => L-Homoserine[c] + Nicotinamide adenine dinucleotide phosphate[c]
