pairID,enzymeID,rxnID,rxnName,kcat,kcatMin,kcatMax,newKcat,foldChange,logFold
17,P0AG40,FMNAT,"FMN adenylyltransferase",0.116650410933229,0.116650410933229,4.279587,0.116792590293489,1.0012188500591,0.00121810786438505
112,P30011,NNDPR,"Nicotinate-nucleotide diphosphorylase (carboxylating)",0.0751775851500292,0.0751775851500292,17.872683,0.0752397389584263,1.00082675984169,0.000826418264025147
148,P31057,MOHMT,"3-methyl-2-oxobutanoate hydroxymethyltransferase",0.53,0.53,13.251992,0.550388636920784,1.03846912626563,0.0377476347304627
178,P0AF12,5DOAN,"5'-deoxyadenosine nuclosidase",1.00186144291765,1.00186144291765,10.431781,1.00317095850137,1.00130708252421,0.00130622903548848
324,P0ACB2,PPBNGS,"Porphobilinogen synthase",0.493746453946744,0.493746453946744,5.954251,0.496222324337051,1.00501445705689,0.0050019265388072
412,P0AGG2,FACOAE140,"Fatty-acid-CoA thioesterase (tetradecanoate)",59.3454665159361,0.29355,59.3454665159361,59.3395598049192,0.999900469043994,-9.95359095398579e-05
686,P11458,QULNS,"Quinolinate synthase",0.522749095712178,0.522749095712178,11.074491,0.52533434447261,1.00494548681507,0.00493329806483059
784,P68688,PAPSR2_EXP_2,"Phosphoadenylyl-sulfate reductase (glutaredoxin)",0.303650689449448,0.303650689449448,4.656388,0.388729219423063,1.28018553202653,0.247005014323464
1089,P0AAI5,3OAS160_EXP_2,"3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)",120.427212452858,1.506148,120.427212452858,1.50614812326711,0.0125067091780165,-4.38149004442286
1243,P0A7I7,GTPCII2,"GTP cyclohydrolase II (25drapp)",0.364191207518591,0.364191207518591,9.710832,0.366391112099801,1.00604052084672,0.00602235003805616
1371,P25553,GCALDD,"Glycolaldehyde dehydrogenase",575.149486192773,1.6191,575.149486192773,1.61910000000001,0.00281509423005437,-5.87275954368631
1643,P05041,ADCS,"4-amino-4-deoxychorismate synthase",0.0180735060395772,0.0180735060395772,10.428492,0.0180758134674092,1.00012766907687,0.000127660927870875
1913,P0A9C0,G3PD7,"Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)",0.546656135865719,0.546656135865719,11.410482,1.89998777553987,3.47565434810483,1.24578276290313
2310,P62620,MECDPDH5_EXP_1,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",0.00190291910563855,0.00190291910563855,7.313351,0.00190323964793083,1.00016844767144,0.000168433485719873
2337,P0ACD4,I2FE2SS,"ISC [2Fe-2S] Synthesis",0.0116585957220194,0.0116585957220194,9.282794,0.0116560268758407,0.99977966075504,-0.000220363523218035
2477,P77475,GNP_EXP_2,"Phosphogluconate phosphatase",0.083184515880126,0.083184515880126,6.306916,6.30691599999996,75.8183891950349,4.32834086474295
2531,P62617,MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0.987246784310705,0.987246784310705,12.578009,1.00845726027694,1.02148447207254,0.0212569340562761
2537,P17854,PAPSR2_EXP_2,"Phosphoadenylyl-sulfate reductase (glutaredoxin)",0.303650689449448,0.303650689449448,4.656388,0.328543856125068,1.08197961519783,0.0787923403187436
2642,P0ABY4,MECDPDH5_EXP_1,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",0.00190291910563855,0.00190291910563855,7.313351,0.00190358120121886,1.00034793679792,0.000347876281946412
2816,P0AC16,DHNPA2r_REV,"Dihydroneopterin aldolase reversible (reversible)",1.02557274391993,1.02557274391993,26.108044,26.108044,25.4570376940892,3.23699223498871
2876,P0AC13,DHPS2,"Dihydropteroate synthase",0.211032398130656,0.211032398130656,8.843525,0.211557379604769,1.00248768188564,0.00248459272722828
2962,P0AEA8,SHCHD2,"Sirohydrochlorin dehydrogenase (NAD)",0.0312089730375265,0.0312089730375265,9.094957,0.0312160662824346,1.00022728222744,0.000227256402746641
3000,P00490,MLTP3,"Maltodextrin phosphorylase (maltoheptaose)",4.63641852162297,1.172579,10.575276,10.575276,2.28091488088917,0.824576626029543
3465,P0AEN1,FE3Ri,"Fe(III) reduction",0.164096292710199,0.164096292710199,11.792425,11.7924249999993,71.8628361752523,4.27475924897294
3645,P0A6I3,PNTK,"Pantothenate kinase",1.44,1.44,7.91091,1.46082764492181,1.01446364230681,0.0143600415999469
3652,P29680,UPPDC1,"Uroporphyrinogen decarboxylase (uroporphyrinogen III)",0.0845226154571599,0.0845226154571599,2.759468,0.0845881948868022,1.00077588026929,0.000775579429798183
