proteins,genes,gene_name,kcat,rxns,notes,stoicho
P00509,b0928,aspC,259,ASPTA_EXP_1,BRENDA,1
P0AEK2,b1093,fabG,0.59,,BRENDA,1
P75823,b0870,ltaE,9.02,,BRENDA,1
P0A8Y3,b3885,yihX,117,,BRENDA,1
P31434,b3656,yicI,195,,BRENDA,1
P75691,b0325,yahK,62.5,,BRENDA,1
P00934,b0004,thrC,7.33,,BRENDA,1
P0A8Y5,b3697,yidA,21,,Metacyc,1
P00888,b2601,aroF,122,,Metacyc,1
P00944,b3565,xylA,5,,Metacyc,1
P77455,b1387,paaZ,39,,BRENDA,1
P24186,b0529,folD,40.88,,Metacyc,1
P0AB91,b0754,aroG,122,,BRENDA,1
P00887,b1704,aroH,122,,BRENDA,1
P66899,b2871,ygeX,58.6,,Metacyc,1
P30863,b0207,dkgB,2.6,,BRENDA,1
P27248,b2905,gcvT,20.9,,BRENDA,1
P23256,b1622,malY,79,,BRENDA,1
P39831,b1539,ydfG,6.55,,BRENDA,1
Q46857,b3012,dkgA,2.6,,BRENDA,1
P0A749,b3189,murA,8.9,,BRENDA,1
P25526,b2661,gabD,69,,BRENDA,1
P27306,b3962,sthA,259.5,,BRENDA,1
P06715,b3500,gor,733.3,,BRENDA,1
P80644,b0937,ssuE,5.27,,BRENDA,1
P07003,b0871,poxB,883,,BRENDA,1
P23522,b3126,garL,447,,BRENDA,1
P0A6D3,b0908,aroA,100,,BRENDA,1
P00722,b0344,lacZ,620,,BRENDA,1
P31142,b2521,sseA,260,,BRENDA,1
P0A9J4,b0425,panE,25,DPR_EXP_1,BRENDA,1
P00864,b3956,ppc,540,PPC,BRENDA,1
P04968,b3772,ilvA,1414,,BRENDA,1
P23883,b1300,puuC,28.54,,BRENDA,1
P75792,b0822,ybiV,111,,Metacyc,1
P45568,b0173,dxr,38,,BRENDA,1
P04693,b4054,tyrB,1200,,BRENDA,1
P0AB80,b3770,ilvE,78,,BRENDA,1
P15770,b3281,aroE,237,,BRENDA,1
P0A6D5,b1692,ydiB,0.24,,BRENDA,1
P0A6L2,b2478,dapA,223,,BRENDA,1
P0A955,b1850,eda,284,,BRENDA,1
P0ABQ4,b0048,folA,104.6,,BRENDA,1
P26602,b4039,ubiC,1.7,,BRENDA,1
P76015,b1200,dhaK,4.8,,BRENDA,1
P76014,b1199,dhaL,4.8,,BRENDA,1
P76149,b1525,sad,69,,BRENDA,1
P37349,b1198,dhaM,4.8,,BRENDA,1
P0AFG8,b0114,aceE,95,,BRENDA,1
P60560,b0104,guaC,0.28,,BRENDA,1
P30744,b2797,sdaB,544,,BRENDA,1
Q6BF16,b4477,dgoA,2.5,,BRENDA,1
P0AGF6,b3117,tdcB,1414,,BRENDA,1
P16095,b1814,sdaA,544,,BRENDA,1
P0A6L4,b3225,nanA,12.1,,BRENDA,1
P42630,b4471,tdcG,544,,BRENDA,1
P27250,b4269,ahr,62.5,,BRENDA,1
P51020,b0352,mhpE,358.4,,BRENDA,1
P00561,b0002,thrA,56.7,,BRENDA,1
P0A884,b2827,thyA,10.4,,Metacyc,1
P00562,b3940,metL,56.7,,BRENDA,1
P0A9Q9,b3433,asd,258,,BRENDA,1
P05793,b3774,ilvC,26,,BRENDA,1
P77541,b0331,prpB,19,,BRENDA,1
P0A790,b0131,panD,0.57,,BRENDA,1
P0A6I3,b3974,coaA,1.44,,BRENDA,1
P76316,b1919,dcyD,281,,BRENDA,1
P0A7B3,b2615,nadK,125,,BRENDA,1
P0A715,b1215,kdsA,100,,BRENDA,1
P0ADI4,b0595,entB,217,,BRENDA,1
P08200,b1136,icd,106.4,,BRENDA,1
P24232,b2552,hmp,670,,BRENDA,1
P61889,b3236,mdh,931,,BRENDA,1
P14407,b4122,fumB,1150,,BRENDA,1
P00370,b1761,gdhA,47.3,,BRENDA,1
Q46920,b2794,queF,0.142,,BRENDA,1
P52643,b1380,ldhA,1100,,BRENDA,1
P22259,b3403,pck,0.67,,BRENDA,1
P37355,b2263,menH,167,,BRENDA,1
P0A853,b3708,tnaA,44,,BRENDA,1
P06721,b3008,metC,79,,BRENDA,1
P0A6X1,b1210,hemA,0.15,,BRENDA,1
P26616,b1479,maeA,57.3,,BRENDA,1
P27848,b3826,yigL,14,,Metacyc,1
P0A825,b2551,glyA,640,,BRENDA,1
P0AEK4,b1288,fabI,11.9,,BRENDA,1
P0AC53,b1852,zwf,288,,BRENDA,1
P62601,b3519,treF,199,,BRENDA,1
P31663,b0133,panC,64.7,PANTS,Tigu,
P31057,b0134,panB,0.53,MOHMT,Hot spot-based engineering of ketopantoate hydroxymethyltransferase for the improvement of D-pantothenic acid production in Escherichia coli,1
P77488,b0420,dxs,2.6,,BRENDA,1
P00926,b2366,dsdA,118,,BRENDA,1
P76469,b2245,rhmA,447,,BRENDA,1
P77625,b2293,yfbT,13,,Metacyc,1
P76558,b2463,maeB,66.6,,BRENDA,1
P0AEZ1,b3941,metF,55,,BRENDA,1
P17846 + P38038,b2764 and b2763,cysJ and cysI,65,SULR,BRENDA,8 + 4
P68183 + P02916 + P0AEX9 + P68187,b4032 and b4033 and b4034 and b4035,malG and malF and malE and malK,0.99733,MALTabcpp,Calculated from carbon sources,1 + 1 + 1 + 2
P0AB67 + P07001,b1602 and b1603,pntB and pntA,81.7,THD2pp,BRENDA,2 + 2
P0AGB0,b4388,serB,1481,,ecmpy,1
P21151,b3845,fadA,17.9847,,Five different enzymatic activities are associated with the multienzyme complex of fatty acid oxidation from Escherichia coli,1
